elapsed_s,gpu0_gb,gpu1_gb,gpu2_gb,gpu3_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
26.0,0.3687,0.0,1.8532,0.0014,2.2234,0.0,2.2234,0.0,0.0,0,0,0,1.8102,2.2219,0.0014,0.0,0.0,0.0006,35,21,14,0,38,0,0,10422,0,2,0
27.0,0.3687,0.0,1.8532,0.0014,2.2234,0.0,2.2234,0.0,0.0,0,0,0,1.8421,2.2219,0.0014,0.0,0.0,0.0006,36,21,15,0,38,0,0,10628,0,2,0
28.0,0.3687,0.0,1.906,0.0014,2.2762,0.0,2.2762,0.0,0.0,0,0,0,2.0066,2.2748,0.0014,0.0,0.0,0.0006,38,21,17,0,38,0,0,11803,0,2,0
29.0,0.3687,0.0,1.906,0.2243,2.499,0.0,2.499,0.0,0.0,0,0,0,2.0066,2.2748,0.2243,0.0,0.0,0.0897,38,21,17,0,38,0,0,11803,0,2,0
30.0,0.3687,0.0,1.9802,0.5086,2.8575,0.0,2.8575,0.0,0.0,0,0,0,2.0409,2.3489,0.5086,0.0,0.0,0.178,39,22,17,0,39,0,0,12031,0,2,0
31.0,0.3687,0.6023,1.9802,1.3276,4.2788,0.0,4.2788,0.0,0.0,0,0,0,2.1529,2.3489,1.9299,0.0,0.0,0.451,41,22,19,0,39,0,0,12717,0,2,0
32.0,0.3687,0.8077,1.9802,1.3276,4.4842,0.0,4.4842,0.0,0.0,0,0,0,2.1529,2.3489,2.1353,0.0,0.0,0.4762,41,22,19,0,39,0,0,12717,0,2,0
33.0,0.3687,1.3853,1.9802,1.3276,5.0619,0.0,5.0619,0.0,0.0,0,0,0,2.2921,2.3489,2.7129,0.0,0.0,0.536,42,22,20,0,39,0,0,13767,0,2,0
34.0,0.5197,1.3853,1.9802,1.3276,5.2129,0.0,5.2129,0.0,0.0,0,0,0,3.8362,2.4999,2.7129,0.0,0.0,0.5204,53,22,31,0,40,0,0,23857,0,2,0
35.0,0.6497,1.3853,1.9802,1.3276,5.3429,0.0,5.3429,0.0,0.0,0,0,0,4.0104,2.63,2.7129,0.0,0.0,0.5078,55,22,33,0,41,0,0,25010,0,2,0
36.0,0.6497,1.3853,1.9802,1.3276,5.3429,0.0,5.3429,0.0,0.0,0,0,0,4.4685,2.63,2.7129,0.0,0.0,0.5078,59,22,37,0,41,0,0,28381,0,2,0
37.0,0.81,1.3853,1.9802,1.3276,5.5032,0.0,5.5032,0.0,0.0,0,0,0,4.4685,2.7903,2.7129,0.0,0.0,0.493,59,22,37,0,41,0,0,28381,0,2,0
38.0,0.9695,1.3853,1.9802,1.3276,5.6627,0.0,5.6627,0.0,0.0,0,0,0,4.4685,2.9498,2.7129,0.0,0.0,0.4791,59,22,37,0,41,0,0,28381,0,2,0
39.0,1.1399,1.3853,1.9802,1.3276,5.8331,0.0,5.8331,0.0,0.0,0,0,0,4.4685,3.1202,2.7129,0.0,0.0,0.4651,59,22,37,0,41,0,0,28381,0,2,0
40.0,1.711,1.3853,1.9802,1.3276,6.4042,0.0,6.4042,0.0,0.0,0,0,0,4.6698,3.6912,2.7129,0.0,0.0,0.4236,60,22,38,0,42,0,0,29555,0,2,0
41.0,1.9019,1.3853,1.9802,1.3276,6.595,0.0,6.595,0.0,0.0,0,0,0,4.8271,3.8821,2.7129,0.0,0.0,0.4114,61,23,38,0,42,0,0,30725,0,2,0
42.0,1.9468,1.4816,1.9802,1.3276,6.7363,0.0,6.7363,0.0,0.0,0,0,0,4.9109,3.927,2.8093,0.0,0.0,0.417,62,24,38,0,43,0,0,31316,0,2,0
43.0,1.9568,1.6682,1.9802,1.3276,6.9328,0.0,6.9328,0.0,0.0,0,0,0,5.3371,3.937,2.9958,0.0,0.0,0.4321,64,24,40,0,43,0,0,34324,0,2,0
44.0,1.9568,1.6682,1.9802,1.3276,6.9328,0.0,6.9328,0.0,0.0,0,0,0,5.4997,3.937,2.9958,0.0,0.0,0.4321,66,24,42,0,43,0,0,35543,0,2,0
45.0,1.9568,2.0813,1.9802,1.3276,7.3459,0.0,7.3459,0.0,0.0,0,0,0,5.5644,3.937,3.4089,0.0,0.0,0.4641,67,24,43,0,44,0,0,35559,0,2,0
46.0,1.9703,2.2512,1.9802,1.3276,7.5293,0.0,7.5293,0.0,0.0,0,0,0,5.748,3.9505,3.5788,0.0,0.0,0.4753,68,24,44,0,44,0,0,36946,0,2,0
47.0,1.9703,2.892,1.9802,1.3276,8.1701,0.0,8.1701,0.0,0.0,0,0,0,5.748,3.9505,4.2196,0.0,0.0,0.5165,68,24,44,0,44,0,0,36946,0,2,0
48.0,1.9703,2.9878,1.9802,1.3276,8.2659,0.0,8.2659,0.0,0.0,0,0,0,5.9452,3.9505,4.3154,0.0,0.0,0.5221,70,24,46,0,44,0,0,38397,0,2,0
49.0,1.9703,3.4079,1.9802,1.3276,8.686,0.0,8.686,0.0,0.0,0,0,0,6.2907,3.9505,4.7355,0.0,0.0,0.5452,72,24,48,0,44,0,0,40656,0,2,0
50.0,1.9703,3.63,1.9802,1.3276,8.9082,0.0,8.9082,0.0,0.0,0,0,0,6.498,3.9505,4.9577,0.0,0.0,0.5565,75,24,51,0,44,0,0,42162,0,2,0
51.0,2.0003,3.8373,1.9802,1.3276,9.1454,0.0,9.1454,0.0,0.0,0,0,0,6.498,3.9805,5.1649,0.0,0.0,0.5648,75,24,51,0,44,0,0,42162,0,2,0
52.0,2.0003,4.2956,1.9802,1.3276,9.6038,0.0,9.6038,0.0,0.0,0,0,0,6.8629,3.9805,5.6233,0.0,0.0,0.5855,78,24,54,0,44,0,0,44878,0,2,0
53.0,2.0003,4.7413,1.9802,1.3276,10.0494,0.0,10.0494,0.0,0.0,0,0,0,7.0134,3.9805,6.0689,0.0,0.0,0.6039,79,24,55,0,44,0,0,46009,0,2,0
54.0,2.0003,5.2011,1.9802,1.3276,10.5092,0.0,10.5092,0.0,0.0,0,0,0,7.0134,3.9805,6.5287,0.0,0.0,0.6212,79,24,55,0,44,0,0,46009,0,2,0
55.0,2.0003,5.445,1.9802,1.5748,11.0003,0.0,11.0003,0.0,0.0,0,0,0,7.3254,3.9805,7.0198,0.0,0.0,0.6381,82,24,58,0,44,0,0,48119,0,2,0
56.0,2.0003,5.445,1.9802,1.8169,11.2424,0.0,11.2424,0.0,0.0,0,0,0,7.6437,3.9805,7.2619,0.0,0.0,0.6459,83,24,59,0,44,1,0,49748,0,2,0
57.0,2.0003,5.5721,1.9802,1.8169,11.3696,0.0,11.3696,0.0,0.0,0,0,0,7.8036,3.9805,7.3891,0.0,0.0,0.6499,84,24,60,0,44,1,0,50925,0,2,0
58.0,2.0003,5.5721,1.9802,2.0458,11.5984,0.0,11.5984,0.0,0.0,0,0,0,8.074,3.9805,7.6179,0.0,0.0,0.6568,87,24,63,0,44,1,0,52895,0,2,0
59.0,2.0003,5.5721,1.9802,2.1126,11.6653,0.0,11.6653,0.0,0.0,0,0,0,8.3119,3.9805,7.6848,0.0,0.0,0.6588,88,24,64,0,46,1,0,54698,0,2,0
60.0,2.0003,5.5721,1.9802,2.8348,12.3875,0.0,12.3875,0.0,0.0,0,0,0,8.4406,3.9805,8.407,0.0,0.0,0.6787,89,24,65,0,46,1,0,55631,0,2,0
61.0,2.0003,5.5721,1.9802,3.093,12.6457,0.0,12.6457,0.0,0.0,0,0,0,8.6245,3.9805,8.6652,0.0,0.0,0.6852,91,24,67,0,46,1,0,56959,0,2,0
62.0,2.0003,5.5721,1.9802,3.371,12.9237,0.0,12.9237,0.0,0.0,0,0,0,8.6542,3.9805,8.9432,0.0,0.0,0.692,92,24,68,0,46,1,0,57122,0,2,0
63.0,2.0003,5.5721,1.9802,3.6426,13.1953,0.0,13.1953,0.0,0.0,0,0,0,8.8978,3.9805,9.2148,0.0,0.0,0.6983,95,24,71,0,46,1,0,58714,0,2,0
64.0,2.0003,5.5721,1.9802,4.6244,14.177,0.0,14.177,0.0,0.0,0,0,0,9.0778,3.9805,10.1965,0.0,0.0,0.7192,96,24,72,0,46,1,0,60068,0,2,0
65.0,2.0003,5.5721,1.9802,5.0298,14.5824,0.0,14.5824,0.0,0.0,0,0,0,9.2154,3.9805,10.6019,0.0,0.0,0.727,97,24,73,0,46,1,0,61091,0,2,0
66.0,2.0003,5.5721,1.9802,5.0298,14.5824,0.0,14.5824,0.0,0.0,0,0,0,9.2656,3.9805,10.6019,0.0,0.0,0.727,98,24,74,0,46,1,0,61435,0,2,0
67.0,2.0085,5.5721,1.9802,5.394,14.9549,0.0,14.9549,0.0,0.0,0,0,0,9.7237,3.9888,10.9661,0.0,0.0,0.7333,101,24,77,0,47,1,0,64642,0,2,0
68.0,2.0112,5.5721,1.9802,5.4809,15.0444,0.0,15.0444,0.0,0.0,0,0,0,10.0725,3.9914,11.053,0.0,0.0,0.7347,104,24,80,0,48,1,0,67239,0,2,0
69.0,2.0112,5.5721,1.9802,5.4809,15.0444,0.0,15.0444,0.0,0.0,0,0,0,10.0739,3.9914,11.053,0.0,0.0,0.7347,104,24,80,0,48,1,0,67239,0,2,0
70.0,2.0112,5.5721,1.9802,5.4809,15.0444,0.0,15.0444,0.0,0.0,0,0,0,10.1568,3.9914,11.053,0.0,0.0,0.7347,106,25,81,0,48,1,0,67841,0,2,0
71.0,2.0112,5.5721,1.9802,5.4809,15.0444,0.0,15.0444,0.0,0.0,0,0,0,10.2424,3.9914,11.053,0.0,0.0,0.7347,107,25,82,0,49,1,0,68468,0,2,0
72.0,2.0112,5.5721,1.9802,5.4809,15.0444,0.0,15.0444,0.0,0.0,0,0,0,10.4985,3.9914,11.053,0.0,0.0,0.7347,109,25,84,0,49,1,0,70358,0,2,0
73.0,2.0112,5.5721,1.9802,5.4934,15.0569,0.0,15.0569,0.0,0.0,0,0,0,10.4985,3.9914,11.0655,0.0,0.0,0.7349,109,25,84,0,49,1,0,70358,0,2,0
74.0,2.0112,5.5721,1.9802,5.4934,15.0569,0.0,15.0569,0.0,0.0,0,0,0,10.5695,3.9914,11.0655,0.0,0.0,0.7349,110,26,84,0,49,1,0,70887,0,2,0
75.0,2.0112,5.5721,1.9802,5.4934,15.0569,0.0,15.0569,0.0,0.0,0,0,0,10.5779,3.9914,11.0655,0.0,0.0,0.7349,111,27,84,0,49,1,0,70910,0,2,0
76.0,2.0112,5.5721,1.9802,5.4934,15.0569,0.0,15.0569,0.0,0.0,0,0,0,10.59,3.9914,11.0655,0.0,0.0,0.7349,112,27,85,0,50,1,0,70968,0,2,0
77.0,2.0112,5.5721,1.9802,5.4934,15.0569,0.0,15.0569,0.0,0.0,0,0,0,10.7113,3.9914,11.0655,0.0,0.0,0.7349,113,27,86,0,50,1,0,71398,0,2,0
78.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,10.8829,3.9914,11.073,0.0,0.0,0.735,113,27,86,0,50,3,0,71398,0,2,0
79.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,11.1873,3.9914,11.073,0.0,0.0,0.735,116,28,88,0,50,3,0,73664,0,2,0
80.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,11.4971,3.9914,11.073,0.0,0.0,0.735,117,29,88,0,51,3,0,75925,0,2,0
81.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,12.1398,3.9914,11.073,0.0,0.0,0.735,120,31,89,0,51,3,0,80722,0,2,0
82.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,12.2041,3.9914,11.073,0.0,0.0,0.735,121,32,89,0,53,3,0,81155,0,2,0
83.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,12.5301,3.9914,11.073,0.0,0.0,0.735,122,32,90,0,53,3,0,83627,0,2,0
84.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,12.9776,3.9914,11.073,0.0,0.0,0.735,125,33,92,0,53,3,0,86859,0,2,0
85.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.1668,3.9914,11.073,0.0,0.0,0.735,126,33,93,0,53,3,0,88226,0,2,0
86.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.1668,3.9914,11.073,0.0,0.0,0.735,126,33,93,0,53,3,0,88226,0,2,0
87.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.1668,3.9914,11.073,0.0,0.0,0.735,126,33,93,0,53,3,0,88226,0,2,0
88.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.1668,3.9914,11.073,0.0,0.0,0.735,126,33,93,0,53,3,0,88226,0,2,0
89.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.1684,3.9914,11.073,0.0,0.0,0.735,126,33,93,0,54,3,0,88226,0,2,0
90.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.1684,3.9914,11.073,0.0,0.0,0.735,126,33,93,0,54,3,0,88226,0,2,0
91.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.2468,3.9914,11.073,0.0,0.0,0.735,127,33,94,0,54,3,0,88813,0,2,0
92.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.3545,3.9914,11.073,0.0,0.0,0.735,128,33,95,0,54,3,0,89616,0,2,0
93.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.8421,3.9914,11.073,0.0,0.0,0.735,131,33,98,0,55,3,0,92860,0,2,0
94.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.9407,3.9914,11.073,0.0,0.0,0.735,132,33,99,0,55,3,0,93597,0,2,0
95.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,13.9407,3.9914,11.073,0.0,0.0,0.735,132,33,99,0,55,3,0,93597,0,2,0
96.0,2.0112,5.5796,1.9802,5.4934,15.0644,0.0,15.0644,0.0,0.0,0,0,0,14.0672,3.9914,11.073,0.0,0.0,0.735,133,33,100,0,55,3,0,94547,0,2,0
97.0,2.0112,5.6472,1.9802,5.4934,15.132,0.0,15.132,0.0,0.0,0,0,0,14.1816,3.9914,11.1406,0.0,0.0,0.7362,135,33,102,0,56,3,0,95371,0,2,0
