t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
29.50,0.9592,92522,0,105000,0.8812,0.0000,0.8130,127017,1,156229,0.8130,0.0000
30.00,0.9592,100714,0,105000,0.9592,0.0000,0.8130,127017,1,156229,0.8130,0.0000
30.50,0.9592,100714,0,105000,0.9592,0.0000,0.8130,127017,1,156229,0.8130,0.0000
31.01,0.9592,100714,0,105000,0.9592,0.0000,0.8130,127017,1,156229,0.8130,0.0000
31.51,0.9592,100714,0,105000,0.9592,0.0000,0.8130,127017,1,156229,0.8130,0.0000
32.01,0.9593,84343,0,105000,0.8033,0.0000,0.8130,127017,1,156229,0.8130,0.0000
32.51,0.9593,84343,0,105000,0.8033,0.0000,0.8130,127017,1,156229,0.8130,0.0000
33.01,0.9593,92535,0,105000,0.8813,0.0000,0.8130,127017,1,156229,0.8130,0.0000
33.51,0.9593,100727,0,105000,0.9593,0.0000,0.8130,127017,1,156229,0.8130,0.0000
34.01,0.9593,100727,0,105000,0.9593,0.0000,0.8130,127017,1,156229,0.8130,0.0000
34.51,0.9593,100727,0,105000,0.9593,0.0000,0.8130,127017,1,156229,0.8130,0.0000
35.01,0.9593,100727,0,105000,0.9593,0.0000,0.8130,127017,1,156229,0.8130,0.0000
35.51,0.9593,100727,0,105000,0.9593,0.0000,0.8130,127017,1,156229,0.8130,0.0000
36.01,0.9592,84329,0,105000,0.8031,0.0000,0.8130,127017,1,156229,0.8130,0.0000
36.51,0.9592,92521,0,105000,0.8812,0.0000,0.8130,127017,1,156229,0.8130,0.0000
37.01,0.9592,100713,0,105000,0.9592,0.0000,0.8130,127017,1,156229,0.8130,0.0000
37.51,0.9592,100713,0,105000,0.9592,0.0000,0.8130,127017,1,156229,0.8130,0.0000
38.01,0.9592,100713,0,105000,0.9592,0.0000,0.8130,127017,1,156229,0.8130,0.0000
38.51,0.9592,100713,0,105000,0.9592,0.0000,0.8130,127017,1,156229,0.8130,0.0000
39.01,0.9592,100713,0,105000,0.9592,0.0000,0.8130,127017,1,156229,0.8130,0.0000
39.51,0.9590,84309,0,105000,0.8029,0.0000,0.9756,152424,1,156229,0.9756,0.0000
40.01,0.9590,92501,0,105000,0.8810,0.0000,0.9756,152424,1,156229,0.9756,0.0000
40.51,0.9590,92501,0,105000,0.8810,0.0000,0.9756,152424,1,156229,0.9756,0.0000
41.01,0.9590,100693,0,105000,0.9590,0.0000,0.9756,152424,1,156229,0.9756,0.0000
41.51,0.9590,100693,0,105000,0.9590,0.0000,0.9756,152424,1,156229,0.9756,0.0000
42.01,0.9590,100693,0,105000,0.9590,0.0000,0.9756,152424,1,156229,0.9756,0.0000
42.51,0.9590,100693,0,105000,0.9590,0.0000,0.9756,152424,1,156229,0.9756,0.0000
43.01,0.9589,84301,0,105000,0.8029,0.0000,0.9756,152424,1,156229,0.9756,0.0000
43.51,0.9589,92493,0,105000,0.8809,0.0000,0.9756,152424,1,156229,0.9756,0.0000
44.01,0.9589,92493,0,105000,0.8809,0.0000,0.9756,152424,1,156229,0.9756,0.0000
44.51,0.9589,100685,0,105000,0.9589,0.0000,0.9756,152424,1,156229,0.9756,0.0000
45.01,0.9589,100685,0,105000,0.9589,0.0000,0.9756,152424,1,156229,0.9756,0.0000
45.51,0.9589,100685,0,105000,0.9589,0.0000,0.9756,152424,1,156229,0.9756,0.0000
46.01,0.9589,100685,0,105000,0.9589,0.0000,0.9756,152424,1,156229,0.9756,0.0000
46.51,0.9590,84307,0,105000,0.8029,0.0000,0.9756,152424,1,156229,0.9756,0.0000
47.01,0.9590,84307,0,105000,0.8029,0.0000,0.8133,127065,1,156229,0.8133,0.0000
47.51,0.9590,92499,0,105000,0.8809,0.0000,0.8133,127065,1,156229,0.8133,0.0000
48.01,0.9590,100691,0,105000,0.9590,0.0000,0.8133,127065,1,156229,0.8133,0.0000
48.51,0.9590,100691,0,105000,0.9590,0.0000,0.8133,127065,1,156229,0.8133,0.0000
49.01,0.9590,100691,0,105000,0.9590,0.0000,0.8133,127065,1,156229,0.8133,0.0000
49.51,0.9590,100691,0,105000,0.9590,0.0000,0.8133,127065,1,156229,0.8133,0.0000
50.01,0.9590,100691,0,105000,0.9590,0.0000,0.8133,127065,1,156229,0.8133,0.0000
50.51,0.9591,84325,0,105000,0.8031,0.0000,0.8133,127065,1,156229,0.8133,0.0000
51.01,0.9591,92517,0,105000,0.8811,0.0000,0.8133,127065,1,156229,0.8133,0.0000
51.51,0.9591,100709,0,105000,0.9591,0.0000,0.8133,127065,1,156229,0.8133,0.0000
52.01,0.9591,100709,0,105000,0.9591,0.0000,0.8133,127065,1,156229,0.8133,0.0000
52.51,0.9591,100709,0,105000,0.9591,0.0000,0.8133,127065,1,156229,0.8133,0.0000
53.01,0.9591,100709,0,105000,0.9591,0.0000,0.8133,127065,1,156229,0.8133,0.0000
53.51,0.9591,100709,0,105000,0.9591,0.0000,0.8133,127065,1,156229,0.8133,0.0000
54.01,0.9597,84382,0,105000,0.8036,0.0000,0.8133,127065,1,156229,0.8133,0.0000
54.51,0.9597,92574,0,105000,0.8817,0.0000,0.8133,127065,1,156229,0.8133,0.0000
55.01,0.9597,92574,0,105000,0.8817,0.0000,0.8133,127065,1,156229,0.8133,0.0000
55.51,0.9597,100766,0,105000,0.9597,0.0000,0.8133,127065,1,156229,0.8133,0.0000
56.01,0.9597,100766,0,105000,0.9597,0.0000,0.8133,127065,1,156229,0.8133,0.0000
56.51,0.9597,100766,0,105000,0.9597,0.0000,0.8133,127065,1,156229,0.8133,0.0000
57.01,0.9597,100766,0,105000,0.9597,0.0000,0.8133,127065,1,156229,0.8133,0.0000
57.51,0.9602,84436,0,105000,0.8042,0.0000,0.9768,152607,1,156229,0.9768,0.0000
58.01,0.9602,92628,0,105000,0.8822,0.0000,0.9768,152607,1,156229,0.9768,0.0000
58.51,0.9602,92628,0,105000,0.8822,0.0000,0.9768,152607,1,156229,0.9768,0.0000
59.01,0.9602,100820,0,105000,0.9602,0.0000,0.9768,152607,1,156229,0.9768,0.0000
59.51,0.9602,100820,0,105000,0.9602,0.0000,0.9768,152607,1,156229,0.9768,0.0000
60.01,0.9602,100820,0,105000,0.9602,0.0000,0.9768,152607,1,156229,0.9768,0.0000
60.51,0.9602,100820,0,105000,0.9602,0.0000,0.9768,152607,1,156229,0.9768,0.0000
61.01,0.9603,84451,0,105000,0.8043,0.0000,0.9768,152607,1,156229,0.9768,0.0000
61.51,0.9603,84451,0,105000,0.8043,0.0000,0.9768,152607,1,156229,0.9768,0.0000
62.01,0.9603,92643,0,105000,0.8823,0.0000,0.9768,152607,1,156229,0.9768,0.0000
62.51,0.9603,100835,0,105000,0.9603,0.0000,0.9768,152607,1,156229,0.9768,0.0000
63.01,0.9603,100835,0,105000,0.9603,0.0000,0.9768,152607,1,156229,0.9768,0.0000
63.51,0.9603,100835,0,105000,0.9603,0.0000,0.9768,152607,1,156229,0.9768,0.0000
64.01,0.9603,100835,0,105000,0.9603,0.0000,0.9768,152607,1,156229,0.9768,0.0000
64.51,0.9603,100835,0,105000,0.9603,0.0000,0.9768,152607,1,156229,0.9768,0.0000
65.01,0.9602,84437,0,105000,0.8042,0.0000,0.9771,152655,1,156229,0.9771,0.0000
65.51,0.9602,92629,0,105000,0.8822,0.0000,0.9771,152655,1,156229,0.9771,0.0000
66.01,0.9602,92629,0,105000,0.8822,0.0000,0.9771,152655,1,156229,0.9771,0.0000
66.51,0.9602,100821,0,105000,0.9602,0.0000,0.9771,152655,1,156229,0.9771,0.0000
67.01,0.9602,100821,0,105000,0.9602,0.0000,0.9771,152655,1,156229,0.9771,0.0000
67.51,0.9602,100821,0,105000,0.9602,0.0000,0.9771,152655,1,156229,0.9771,0.0000
68.01,0.9602,100821,0,105000,0.9602,0.0000,0.9771,152655,1,156229,0.9771,0.0000
68.51,0.9600,84417,0,105000,0.8040,0.0000,0.9771,152655,1,156229,0.9771,0.0000
69.01,0.9600,92609,0,105000,0.8820,0.0000,0.9771,152655,1,156229,0.9771,0.0000
69.51,0.9600,92609,0,105000,0.8820,0.0000,0.9771,152655,1,156229,0.9771,0.0000
70.01,0.9600,100801,0,105000,0.9600,0.0000,0.9771,152655,1,156229,0.9771,0.0000
70.51,0.9600,100801,0,105000,0.9600,0.0000,0.9771,152655,1,156229,0.9771,0.0000
71.01,0.9600,100801,0,105000,0.9600,0.0000,0.9771,152655,1,156229,0.9771,0.0000
71.51,0.9600,100801,0,105000,0.9600,0.0000,0.9771,152655,1,156229,0.9771,0.0000
72.01,0.9599,84409,0,105000,0.8039,0.0000,0.9771,152655,1,156229,0.9771,0.0000
72.51,0.9599,84409,0,105000,0.8039,0.0000,0.9771,152655,1,156229,0.9771,0.0000
73.01,0.9599,92601,0,105000,0.8819,0.0000,0.9771,152655,1,156229,0.9771,0.0000
73.51,0.9599,100793,0,105000,0.9599,0.0000,0.9771,152655,1,156229,0.9771,0.0000
74.01,0.9599,100793,0,105000,0.9599,0.0000,0.9771,152655,1,156229,0.9771,0.0000
74.51,0.9599,100793,0,105000,0.9599,0.0000,0.9771,152655,1,156229,0.9771,0.0000
