t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:cache_occupancy
27.51,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
28.01,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
28.51,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
29.01,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
29.51,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
30.01,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
30.51,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
31.01,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
31.51,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
32.01,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
32.51,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
33.01,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
33.51,0.8024,58903,0,105000,0.5610,0.0000,0.0000,0,0,0,0.0000,0.0000
34.01,0.8804,67095,0,105000,0.6390,0.0000,0.0000,0,0,0,0.0000,0.0000
34.51,0.8804,67095,0,105000,0.6390,0.0000,0.0000,0,0,0,0.0000,0.0000
35.01,0.9584,75287,0,105000,0.7170,0.0000,0.0000,0,0,0,0.0000,0.0000
35.51,0.9584,75287,0,105000,0.7170,0.0000,0.7536,152226,1,202000,0.7536,0.0000
36.01,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
36.51,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
37.01,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
37.51,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
38.01,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
38.51,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
39.01,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
39.51,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
40.01,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
40.51,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
41.01,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
41.51,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
42.01,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
42.51,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
43.01,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
43.51,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
44.01,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
44.51,0.9578,58907,0,105000,0.5610,0.0000,0.7536,152226,1,202000,0.7536,0.0000
45.01,0.9578,67099,0,105000,0.6390,0.0000,0.7536,152226,1,202000,0.7536,0.0000
45.51,0.9578,67099,0,105000,0.6390,0.0000,0.7536,152226,1,202000,0.7536,0.0000
46.01,0.9511,75291,0,105000,0.7171,0.0000,0.7536,152226,1,202000,0.7536,0.0000
46.51,0.9511,75291,0,105000,0.7171,0.0000,0.7536,152226,1,202000,0.7536,0.0000
47.01,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
47.51,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
48.01,0.9584,84244,0,105000,0.8023,0.0000,0.7536,152226,1,202000,0.7536,0.0000
