t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0780,8192,0,105000,0.0780,0.0000,,,,,,
1.50,0.1560,16384,0,105000,0.1560,0.0000,,,,,,
2.00,0.1560,16384,0,105000,0.1560,0.0000,,,,,,
2.50,0.2341,24576,0,105000,0.2341,0.0000,,,,,,
3.00,0.2341,24576,0,105000,0.2341,0.0000,,,,,,
3.50,0.3196,33560,0,105000,0.3196,0.0000,,,,,,
4.00,0.3976,41752,0,105000,0.3976,0.0000,,,,,,
4.50,0.4757,49944,0,105000,0.4757,0.0000,,,,,,
5.00,0.4757,49944,0,105000,0.4757,0.0000,,,,,,
5.50,0.2416,25365,0,105000,0.2416,0.0000,,,,,,
6.00,0.3196,33557,0,105000,0.3196,0.0000,,,,,,
6.50,0.3976,41749,0,105000,0.3976,0.0000,,,,,,
7.00,0.4756,49941,0,105000,0.4756,0.0000,,,,,,
7.50,0.4756,49941,0,105000,0.4756,0.0000,,,,,,
8.00,0.5613,58935,0,105000,0.5613,0.0000,,,,,,
8.50,0.5613,58935,0,105000,0.5613,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
9.00,0.3977,41762,0,105000,0.3977,0.0000,0.7537,152243,1,202000,0.7537,0.0000
9.50,0.4758,49954,0,105000,0.4758,0.0000,0.7537,152243,1,202000,0.7537,0.0000
10.00,0.4758,49954,0,105000,0.4758,0.0000,0.7537,152243,1,202000,0.7537,0.0000
10.50,0.5613,58940,0,105000,0.5613,0.0000,0.7537,152243,1,202000,0.7537,0.0000
11.00,0.6394,67132,0,105000,0.6394,0.0000,0.7537,152243,1,202000,0.7537,0.0000
11.50,0.6394,67132,0,105000,0.6394,0.0000,0.7537,152243,1,202000,0.7537,0.0000
12.00,0.7174,75324,0,105000,0.7174,0.0000,0.7537,152243,1,202000,0.7537,0.0000
12.50,0.7174,75324,0,105000,0.7174,0.0000,0.7537,152243,1,202000,0.7537,0.0000
13.00,0.5611,58919,0,105000,0.5611,0.0000,0.7537,152243,1,202000,0.7537,0.0000
13.50,0.6392,67111,0,105000,0.6392,0.0000,0.7537,152243,1,202000,0.7537,0.0000
14.00,0.6392,67111,0,105000,0.6392,0.0000,0.7537,152243,1,202000,0.7537,0.0000
14.50,0.7172,75303,0,105000,0.7172,0.0000,0.7537,152243,1,202000,0.7537,0.0000
15.00,0.7172,75303,0,105000,0.7172,0.0000,0.7537,152243,1,202000,0.7537,0.0000
15.50,0.8029,84307,0,105000,0.8029,0.0000,0.7537,152243,1,202000,0.7537,0.0000
16.00,0.6393,67129,0,105000,0.6393,0.0000,0.7537,152243,1,202000,0.7537,0.0000
16.50,0.7173,75321,0,105000,0.7173,0.0000,0.7537,152243,1,202000,0.7537,0.0000
17.00,0.7173,75321,0,105000,0.7173,0.0000,0.7537,152243,1,202000,0.7537,0.0000
17.50,0.7251,76131,0,105000,0.7251,0.0000,0.7537,152243,1,202000,0.7537,0.0000
18.00,0.8031,84323,0,105000,0.8031,0.0000,0.7537,152243,1,202000,0.7537,0.0000
18.50,0.8811,92515,0,105000,0.8811,0.0000,0.7537,152243,1,202000,0.7537,0.0000
19.00,0.9591,100707,0,105000,0.9591,0.0000,0.7537,152243,1,202000,0.7537,0.0000
19.50,0.9591,100707,0,105000,0.9591,0.0000,0.8798,177716,1,202000,0.8798,0.0000
20.00,0.8031,84330,0,105000,0.8031,0.0000,0.8798,177716,1,202000,0.8798,0.0000
20.50,0.8031,84330,0,105000,0.8031,0.0000,0.8798,177716,1,202000,0.8798,0.0000
21.00,0.8812,92522,0,105000,0.8812,0.0000,0.8798,177716,1,202000,0.8798,0.0000
21.50,0.9592,100714,0,105000,0.9592,0.0000,0.8798,177716,1,202000,0.8798,0.0000
22.00,0.9592,100714,0,105000,0.9592,0.0000,0.8798,177716,1,202000,0.8798,0.0000
22.50,0.9592,100714,0,105000,0.9592,0.0000,0.8798,177716,1,202000,0.8798,0.0000
23.00,0.8033,84344,0,105000,0.8033,0.0000,0.8798,177716,1,202000,0.8798,0.0000
23.50,0.8813,92536,0,105000,0.8813,0.0000,0.8798,177716,1,202000,0.8798,0.0000
24.00,0.8813,92536,0,105000,0.8813,0.0000,0.8798,177716,1,202000,0.8798,0.0000
24.50,0.9593,100728,0,105000,0.9593,0.0000,0.8798,177716,1,202000,0.8798,0.0000
25.00,0.9593,100728,0,105000,0.9593,0.0000,0.8798,177716,1,202000,0.8798,0.0000
