mode,reuse_ratio,recompute_ratio,cache_hit_rate,L3_prefetched,L2_host_used,avg_ttft_s,avg_tpot_s,overall_tput,success
radix,0.0601,0.9399,0.0,0.0,,10.7595,0.0134,54.57,200/200
hicache_host,0.1537,0.8463,0.0,0.0,,12.116,0.0139,48.96,200/200
hicache_file,0.3527,0.6473,0.0,924061.0,,9.2753,0.0176,61.42,200/200
