t,p_used_tokens,p_usage,p_used_gb,p_running,p_queue,p_capacity,d_used_tokens,d_usage,d_used_gb,d_running,d_queue,d_capacity,d_transfer_req,d_prealloc_req,d_prealloc_usage
0.026,9632.0,0.11,1.4697265625,,,85172.0,19727.0,0.23161367585591508,3.010101318359375,3.0,,85172.0,0.0,0.0,0.0
0.553,9632.0,0.11,1.4697265625,,,85172.0,2695.0,0.03164185413046541,0.411224365234375,1.0,0.0,85172.0,0.0,0.0,0.0
1.131,9632.0,0.11,1.4697265625,,,85172.0,2695.0,0.03164185413046541,0.411224365234375,1.0,0.0,85172.0,0.0,0.0,0.0
1.689,9632.0,0.11,1.4697265625,,,85172.0,2695.0,0.03164185413046541,0.411224365234375,1.0,0.0,85172.0,0.0,0.0,0.0
2.257,9632.0,0.11,1.4697265625,,,85172.0,12310.0,0.14453106654769174,1.87835693359375,8.0,0.0,85172.0,1.0,0.0,0.0
2.966,9632.0,0.11,1.4697265625,,,85172.0,12310.0,0.14453106654769174,1.87835693359375,8.0,0.0,85172.0,1.0,0.0,0.0
3.778,9632.0,0.11,1.4697265625,,,85172.0,22473.0,0.2638543183205748,3.429107666015625,12.0,0.0,85172.0,4.0,0.0,0.0
4.605,9632.0,0.11,1.4697265625,,,85172.0,22473.0,0.2638543183205748,3.429107666015625,12.0,0.0,85172.0,4.0,0.0,0.0
5.344,9632.0,0.11,1.4697265625,,,85172.0,22473.0,0.2638543183205748,3.429107666015625,12.0,0.0,85172.0,4.0,0.0,0.0
5.91,9632.0,0.11,1.4697265625,,,85172.0,23036.0,0.27046447189217115,3.5150146484375,16.0,0.0,85172.0,0.0,0.0,0.0
6.492,9632.0,0.11,1.4697265625,,,85172.0,23036.0,0.27046447189217115,3.5150146484375,16.0,0.0,85172.0,0.0,0.0,0.0
7.06,9632.0,0.11,1.4697265625,,,85172.0,23036.0,0.27046447189217115,3.5150146484375,16.0,0.0,85172.0,0.0,0.0,0.0
7.63,9632.0,0.11,1.4697265625,,,85172.0,23036.0,0.27046447189217115,3.5150146484375,16.0,0.0,85172.0,0.0,0.0,0.0
8.201,9632.0,0.11,1.4697265625,,,85172.0,23676.0,0.2779786784389236,3.6126708984375,16.0,0.0,85172.0,0.0,0.0,0.0
8.772,9632.0,0.11,1.4697265625,,,85172.0,23676.0,0.2779786784389236,3.6126708984375,16.0,0.0,85172.0,0.0,0.0,0.0
9.343,9632.0,0.11,1.4697265625,,,85172.0,23676.0,0.2779786784389236,3.6126708984375,16.0,0.0,85172.0,0.0,0.0,0.0
9.915,5592.0,0.07,0.853271484375,,,85172.0,24316.0,0.28549288498567604,3.7103271484375,16.0,0.0,85172.0,0.0,0.0,0.0
10.488,5592.0,0.07,0.853271484375,,,85172.0,24316.0,0.28549288498567604,3.7103271484375,16.0,0.0,85172.0,0.0,0.0,0.0
11.061,5592.0,0.07,0.853271484375,,,85172.0,24316.0,0.28549288498567604,3.7103271484375,16.0,0.0,85172.0,0.0,0.0,0.0
11.636,5592.0,0.07,0.853271484375,,,85172.0,24956.0,0.2930070915324285,3.8079833984375,16.0,0.0,85172.0,0.0,0.0,0.0
12.212,5592.0,0.07,0.853271484375,,,85172.0,24956.0,0.2930070915324285,3.8079833984375,16.0,0.0,85172.0,0.0,0.0,0.0
