t,p_used_tokens,p_usage,p_used_gb,p_running,p_queue,p_capacity,d_used_tokens,d_usage,d_used_gb,d_running,d_queue,d_capacity,d_transfer_req,d_prealloc_req,d_prealloc_usage
0.023,0.0,0.0,0.0,,,85172.0,9886.0,0.11607100925186681,1.50848388671875,1.0,,85172.0,0.0,0.0,0.0
0.552,0.0,0.0,0.0,,,85172.0,9886.0,0.11607100925186681,1.50848388671875,1.0,,85172.0,0.0,0.0,0.0
1.098,0.0,0.0,0.0,,,85172.0,9886.0,0.11607100925186681,1.50848388671875,1.0,,85172.0,0.0,0.0,0.0
1.953,0.0,0.0,0.0,,,85172.0,9520.0,0.11177382238294276,1.45263671875,5.0,0.0,85172.0,2.0,0.0,0.0
3.043,0.0,0.0,0.0,,,85172.0,9520.0,0.11177382238294276,1.45263671875,5.0,0.0,85172.0,2.0,0.0,0.0
3.575,0.0,0.0,0.0,,,85172.0,11130.0,0.1306767482271169,1.69830322265625,8.0,0.0,85172.0,0.0,0.0,0.0
4.107,0.0,0.0,0.0,,,85172.0,11130.0,0.1306767482271169,1.69830322265625,8.0,0.0,85172.0,0.0,0.0,0.0
4.638,0.0,0.0,0.0,,,85172.0,11130.0,0.1306767482271169,1.69830322265625,8.0,0.0,85172.0,0.0,0.0,0.0
5.171,0.0,0.0,0.0,,,85172.0,11130.0,0.1306767482271169,1.69830322265625,8.0,0.0,85172.0,0.0,0.0,0.0
5.704,0.0,0.0,0.0,,,85172.0,11450.0,0.1344338515004931,1.74713134765625,8.0,0.0,85172.0,0.0,0.0,0.0
6.238,0.0,0.0,0.0,,,85172.0,11450.0,0.1344338515004931,1.74713134765625,8.0,0.0,85172.0,0.0,0.0,0.0
6.773,0.0,0.0,0.0,,,85172.0,11450.0,0.1344338515004931,1.74713134765625,8.0,0.0,85172.0,0.0,0.0,0.0
7.306,0.0,0.0,0.0,,,85172.0,11770.0,0.13819095477386933,1.79595947265625,8.0,0.0,85172.0,0.0,0.0,0.0
7.84,0.0,0.0,0.0,,,85172.0,11770.0,0.13819095477386933,1.79595947265625,8.0,0.0,85172.0,0.0,0.0,0.0
8.374,0.0,0.0,0.0,,,85172.0,11770.0,0.13819095477386933,1.79595947265625,8.0,0.0,85172.0,0.0,0.0,0.0
8.909,0.0,0.0,0.0,,,85172.0,12090.0,0.14194805804724558,1.84478759765625,8.0,0.0,85172.0,0.0,0.0,0.0
9.444,0.0,0.0,0.0,,,85172.0,12090.0,0.14194805804724558,1.84478759765625,8.0,0.0,85172.0,0.0,0.0,0.0
9.99,0.0,0.0,0.0,,,85172.0,12090.0,0.14194805804724558,1.84478759765625,8.0,0.0,85172.0,0.0,0.0,0.0
10.572,0.0,0.0,0.0,,,85172.0,12410.0,0.1457051613206218,1.89361572265625,8.0,0.0,85172.0,0.0,0.0,0.0
11.152,0.0,0.0,0.0,,,85172.0,12410.0,0.1457051613206218,1.89361572265625,8.0,0.0,85172.0,0.0,0.0,0.0
11.733,0.0,0.0,0.0,,,85172.0,12410.0,0.1457051613206218,1.89361572265625,8.0,0.0,85172.0,0.0,0.0,0.0
