t,p_used_tokens,p_usage,p_used_gb,p_running,p_queue,p_capacity,d_used_tokens,d_usage,d_used_gb,d_running,d_queue,d_capacity,d_transfer_req,d_prealloc_req,d_prealloc_usage
21.05,1342.0,0.02,0.20477294921875,,,85172.0,1574.0,0.018480251725919317,0.24017333984375,1.0,0.0,85172.0,0.0,0.0,0.0
21.6,1342.0,0.02,0.20477294921875,,,85172.0,1574.0,0.018480251725919317,0.24017333984375,1.0,0.0,85172.0,0.0,0.0,0.0
22.385,1342.0,0.02,0.20477294921875,,,85172.0,1574.0,0.018480251725919317,0.24017333984375,1.0,0.0,85172.0,0.0,0.0,0.0
22.939,1342.0,0.02,0.20477294921875,,,85172.0,2541.0,0.0298337481801531,0.387725830078125,1.0,0.0,85172.0,0.0,0.0,0.0
23.498,1342.0,0.02,0.20477294921875,,,85172.0,2541.0,0.0298337481801531,0.387725830078125,1.0,0.0,85172.0,0.0,0.0,0.0
24.057,1342.0,0.02,0.20477294921875,,,85172.0,2541.0,0.0298337481801531,0.387725830078125,1.0,0.0,85172.0,0.0,0.0,0.0
24.616,1342.0,0.02,0.20477294921875,,,85172.0,2581.0,0.03030338608932513,0.393829345703125,1.0,0.0,85172.0,0.0,0.0,0.0
25.175,1342.0,0.02,0.20477294921875,,,85172.0,2581.0,0.03030338608932513,0.393829345703125,1.0,0.0,85172.0,0.0,0.0,0.0
25.734,1342.0,0.02,0.20477294921875,,,85172.0,2581.0,0.03030338608932513,0.393829345703125,1.0,0.0,85172.0,0.0,0.0,0.0
26.294,1342.0,0.02,0.20477294921875,,,85172.0,2621.0,0.03077302399849716,0.399932861328125,1.0,0.0,85172.0,0.0,0.0,0.0
26.853,1342.0,0.02,0.20477294921875,,,85172.0,2621.0,0.03077302399849716,0.399932861328125,1.0,0.0,85172.0,0.0,0.0,0.0
27.412,1342.0,0.02,0.20477294921875,,,85172.0,2621.0,0.03077302399849716,0.399932861328125,1.0,0.0,85172.0,0.0,0.0,0.0
27.971,1342.0,0.02,0.20477294921875,,,85172.0,2661.0,0.031242661907669188,0.406036376953125,1.0,0.0,85172.0,0.0,0.0,0.0
28.53,1342.0,0.02,0.20477294921875,,,85172.0,2661.0,0.031242661907669188,0.406036376953125,1.0,0.0,85172.0,0.0,0.0,0.0
29.089,1342.0,0.02,0.20477294921875,,,85172.0,2661.0,0.031242661907669188,0.406036376953125,1.0,0.0,85172.0,0.0,0.0,0.0
29.649,1342.0,0.02,0.20477294921875,,,85172.0,2701.0,0.03171229981684121,0.412139892578125,1.0,0.0,85172.0,0.0,0.0,0.0
30.209,1342.0,0.02,0.20477294921875,,,85172.0,2701.0,0.03171229981684121,0.412139892578125,1.0,0.0,85172.0,0.0,0.0,0.0
30.769,1342.0,0.02,0.20477294921875,,,85172.0,2701.0,0.03171229981684121,0.412139892578125,1.0,0.0,85172.0,0.0,0.0,0.0
31.329,1342.0,0.02,0.20477294921875,,,85172.0,2741.0,0.03218193772601324,0.418243408203125,1.0,0.0,85172.0,0.0,0.0,0.0
31.889,2525.0,0.03,0.385284423828125,,,85172.0,2741.0,0.03218193772601324,0.418243408203125,1.0,0.0,85172.0,0.0,0.0,0.0
32.449,2525.0,0.03,0.385284423828125,,,85172.0,2741.0,0.03218193772601324,0.418243408203125,1.0,0.0,85172.0,0.0,0.0,0.0
33.009,2525.0,0.03,0.385284423828125,,,85172.0,2741.0,0.03218193772601324,0.418243408203125,1.0,0.0,85172.0,0.0,0.0,0.0
33.569,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
34.119,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
34.668,2525.0,0.03,0.385284423828125,,,85172.0,0.0,0.0,0.0,1.0,0.0,85172.0,0.0,0.0,0.0
