mode,reuse_ratio,recompute_ratio,cache_hit_rate,L3_prefetched,L2_host_used,avg_ttft_s,avg_tpot_s,overall_tput,success
radix,0.7433,0.2567,0.0,0.0,,2.7012,0.0235,83.38,200/200
hicache_host,0.7438,0.2562,0.0,0.0,,2.9982,0.0232,77.89,200/200
hicache_file,0.7514,0.2486,0.0,29664.0,,3.0351,0.0231,78.2,200/200
