t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0000,0,0,105000,0.0000,0.0000,,,,,,
1.00,0.0781,8192,0,105000,0.0780,0.0148,,,,,,
1.50,0.0781,8192,0,105000,0.0780,0.0148,,,,,,
2.00,0.0781,8192,0,105000,0.0780,0.0148,,,,,,
2.50,0.0781,8192,0,105000,0.0780,0.0148,,,,,,
3.00,0.1553,16302,0,105000,0.1553,0.0099,,,,,,
3.50,0.1553,16302,0,105000,0.1553,0.0099,,,,,,
4.00,0.1553,16302,0,105000,0.1553,0.0099,,,,,,
4.50,0.1553,16302,0,105000,0.1553,0.0099,,,,,,
5.00,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
5.50,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
6.00,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
6.50,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
7.00,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
7.50,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
8.00,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
8.50,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
9.00,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
9.50,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
10.00,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
10.50,0.2333,24494,0,105000,0.2333,0.0000,,,,,,
11.00,0.2429,25499,0,105000,0.2428,0.9896,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
11.50,0.2429,25499,0,105000,0.2428,0.9896,0.1118,22593,1,202000,0.1118,0.0000
12.00,0.2429,25499,0,105000,0.2428,0.9896,0.1118,22593,1,202000,0.1118,0.0000
12.50,0.2429,25499,0,105000,0.2428,0.9896,0.0799,16140,1,202000,0.0799,0.0000
13.00,0.2429,25499,0,105000,0.2428,0.9896,0.0799,16140,1,202000,0.0799,0.0000
13.50,0.2429,25499,0,105000,0.2428,0.9896,0.0799,16140,1,202000,0.0799,0.0000
14.00,0.2429,25499,0,105000,0.2428,0.9896,0.0321,6482,1,202000,0.0321,0.0000
14.50,0.2432,6449,0,105000,0.0614,0.9896,0.0321,6482,1,202000,0.0321,0.0000
15.00,0.2435,6461,0,105000,0.0615,0.9896,0.0324,6544,1,202000,0.0324,0.0000
15.50,0.2439,6454,0,105000,0.0615,0.9896,0.0324,6544,1,202000,0.0324,0.0000
16.00,0.2442,6427,0,105000,0.0612,0.9895,0.0161,3248,1,202000,0.0161,0.0000
16.50,0.2445,6429,0,105000,0.0612,0.9896,0.0161,3248,1,202000,0.0161,0.0000
17.00,0.2452,6426,0,105000,0.0612,0.9895,0.0161,3248,1,202000,0.0161,0.0000
17.50,0.2455,6475,0,105000,0.0617,0.9891,0.0322,6509,1,202000,0.0322,0.0000
18.00,0.2458,6519,0,105000,0.0621,0.9891,0.0322,6509,1,202000,0.0322,0.0000
18.50,0.2462,6531,0,105000,0.0622,0.9891,0.0163,3297,1,202000,0.0163,0.0000
19.00,0.2465,6524,0,105000,0.0621,0.9891,0.0163,3297,1,202000,0.0163,0.0000
19.50,0.2469,6497,0,105000,0.0619,0.9890,0.0163,3297,1,202000,0.0163,0.0000
20.00,0.2472,6499,0,105000,0.0619,0.9891,0.0326,6582,1,202000,0.0326,0.0000
20.50,0.2475,6499,0,105000,0.0619,0.9890,0.0326,6582,1,202000,0.0326,0.0000
21.00,0.2479,6496,0,105000,0.0619,0.9891,0.0163,3284,1,202000,0.0163,0.0000
21.50,0.2482,6547,0,105000,0.0624,0.9895,0.0163,3284,1,202000,0.0163,0.0000
22.00,0.2486,6590,0,105000,0.0628,0.9895,0.0163,3284,1,202000,0.0163,0.0000
22.50,0.2792,9783,0,105000,0.0932,0.9895,0.0330,6674,1,202000,0.0330,0.0000
23.00,0.2792,9783,0,105000,0.0932,0.9895,0.0330,6674,1,202000,0.0330,0.0000
23.50,0.2792,9783,0,105000,0.0932,0.9895,0.0330,6674,1,202000,0.0330,0.0000
24.00,0.2805,16375,0,105000,0.1560,0.0128,0.0330,6674,1,202000,0.0330,0.0000
24.50,0.3107,22791,0,105000,0.2171,0.9895,0.0330,6674,1,202000,0.0330,0.0000
25.00,0.3107,22791,0,105000,0.2171,0.9895,0.0330,6674,1,202000,0.0330,0.0000
25.50,0.3111,26074,0,105000,0.2483,0.9895,0.1147,23174,1,202000,0.1147,0.0000
