t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0306,3214,0,105000,0.0306,0.0000,,,,,,
1.00,0.0306,3214,0,105000,0.0306,0.0000,,,,,,
1.50,0.1866,19598,0,105000,0.1866,0.0000,,,,,,
2.00,0.1866,19598,0,105000,0.1866,0.0000,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
2.50,0.1866,19598,0,105000,0.1866,0.0000,0.0958,19343,1,202000,0.0958,0.0000
3.00,0.1866,19598,0,105000,0.1866,0.0000,0.0958,19343,1,202000,0.0958,0.0000
3.50,0.1866,19598,0,105000,0.1866,0.0000,0.0638,12890,1,202000,0.0638,0.0000
4.00,0.1866,19598,0,105000,0.1866,0.0000,0.0638,12890,1,202000,0.0638,0.0000
4.50,0.1866,19598,0,105000,0.1866,0.0000,0.0159,3219,1,202000,0.0159,0.0000
5.00,0.0307,3219,0,105000,0.0307,0.0000,0.0159,3219,1,202000,0.0159,0.0000
5.50,0.0309,3248,0,105000,0.0309,0.0000,0.0159,3219,1,202000,0.0159,0.0000
6.00,0.0311,3263,0,105000,0.0311,0.0000,0.0323,6525,1,202000,0.0323,0.0000
6.50,0.0310,3254,0,105000,0.0310,0.0000,0.0323,6525,1,202000,0.0323,0.0000
7.00,0.0312,3275,0,105000,0.0312,0.0000,0.0323,6525,1,202000,0.0323,0.0000
7.50,0.0310,3256,0,105000,0.0310,0.0000,0.0161,3261,1,202000,0.0161,0.0000
8.00,0.0309,3248,0,105000,0.0309,0.0000,0.0161,3261,1,202000,0.0161,0.0000
8.50,0.0309,3248,0,105000,0.0309,0.0000,0.0322,6509,1,202000,0.0322,0.0000
9.00,0.0000,0,0,105000,0.0000,0.0000,0.0322,6509,1,202000,0.0322,0.0000
9.50,0.0313,3284,0,105000,0.0313,0.0000,0.0163,3299,1,202000,0.0163,0.0000
10.00,0.0314,3299,0,105000,0.0314,0.0000,0.0163,3299,1,202000,0.0163,0.0000
10.50,0.0313,3290,0,105000,0.0313,0.0000,0.0163,3299,1,202000,0.0163,0.0000
11.00,0.0314,3297,0,105000,0.0314,0.0000,0.0328,6616,1,202000,0.0328,0.0000
11.50,0.0314,3292,0,105000,0.0314,0.0000,0.0328,6616,1,202000,0.0328,0.0000
12.00,0.0313,3284,0,105000,0.0313,0.0000,0.0325,6573,1,202000,0.0325,0.0000
12.50,0.0313,3289,0,105000,0.0313,0.0000,0.0325,6573,1,202000,0.0325,0.0000
13.00,0.0316,3319,0,105000,0.0316,0.0000,0.0325,6573,1,202000,0.0325,0.0000
13.50,0.0318,3334,0,105000,0.0318,0.0000,0.0330,6661,1,202000,0.0330,0.0000
14.00,0.0624,6547,0,105000,0.0624,0.0000,0.0330,6661,1,202000,0.0330,0.0000
14.50,0.0941,9885,0,105000,0.0941,0.0000,0.0489,9885,1,202000,0.0489,0.0000
15.00,0.1249,13112,0,105000,0.1249,0.0000,0.0489,9885,1,202000,0.0489,0.0000
15.50,0.1260,13225,0,105000,0.1260,0.0000,0.0489,9885,1,202000,0.0489,0.0000
16.00,0.1565,16431,0,105000,0.1565,0.0000,0.0819,16552,1,202000,0.0819,0.0000
16.50,0.1564,16423,0,105000,0.1564,0.0000,0.0819,16552,1,202000,0.0819,0.0000
17.00,0.1564,16423,0,105000,0.1564,0.0000,0.0813,16426,1,202000,0.0813,0.0000
17.50,0.1554,16317,0,105000,0.1554,0.0000,0.0813,16426,1,202000,0.0813,0.0000
18.00,0.1548,16254,0,105000,0.1548,0.0000,0.0965,19497,1,202000,0.0965,0.0000
18.50,0.1548,16256,0,105000,0.1548,0.0000,0.0965,19497,1,202000,0.0965,0.0000
19.00,0.1541,16180,0,105000,0.1541,0.0000,0.0800,16169,1,202000,0.0800,0.0000
19.50,0.1541,16180,0,105000,0.1541,0.0000,0.0800,16169,1,202000,0.0800,0.0000
20.00,0.1233,12951,0,105000,0.1233,0.0000,0.0800,16169,1,202000,0.0800,0.0000
20.50,0.1233,12951,0,105000,0.1233,0.0000,0.0641,12957,1,202000,0.0641,0.0000
21.00,0.1233,12951,0,105000,0.1233,0.0000,0.0641,12957,1,202000,0.0641,0.0000
21.50,0.0616,6466,0,105000,0.0616,0.0000,0.0323,6521,1,202000,0.0323,0.0000
22.00,0.0311,3267,0,105000,0.0311,0.0000,0.0323,6521,1,202000,0.0323,0.0000
22.50,0.0310,3257,0,105000,0.0310,0.0000,0.0323,6521,1,202000,0.0323,0.0000
