elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
29.1,108424.0,32208.0,76216.0,20921.5,17288.1,6947.5,5822.6,0.0,159399.0,0.0,17626.1,174214.4,495297.2,669511.6,530074.6,1031900.8,180320.5,42
30.1,108424.0,32208.0,76216.0,20903.8,17270.4,6929.8,5804.9,0.0,159399.0,0.0,17488.5,174214.5,495170.2,669384.7,530201.5,1031900.8,180302.8,42
31.1,108424.0,32208.0,76216.0,20900.2,17266.8,6926.1,5801.3,0.0,159399.0,0.0,17493.3,174214.7,495183.9,669398.5,530187.9,1031900.8,180299.2,42
32.1,108424.0,32208.0,76216.0,20877.6,17244.2,6903.5,5778.7,0.0,159399.0,0.0,17499.9,174214.8,495187.4,669402.2,530184.3,1031900.8,180276.6,42
33.1,108426.0,32210.0,76216.0,20879.7,17246.3,6905.7,5780.9,0.0,159399.0,0.0,17500.7,174214.5,495198.2,669412.7,530173.5,1031900.8,180278.8,42
34.1,108426.0,32210.0,76216.0,20880.1,17246.7,6906.0,5781.2,0.0,159399.0,0.0,17509.8,174214.4,495188.3,669402.7,530183.4,1031900.8,180279.1,42
35.1,108426.0,32210.0,76216.0,20778.1,17144.7,6804.0,5679.2,0.0,159399.0,0.0,17565.3,174214.5,495245.9,669460.4,530125.8,1031900.8,180177.1,42
36.1,108426.0,32210.0,76216.0,20778.1,17144.7,6804.1,5679.3,0.0,159399.0,0.0,17601.9,174214.3,495302.4,669516.7,530069.3,1031900.8,180177.2,42
37.1,108426.0,32210.0,76216.0,20766.1,17132.7,6792.1,5667.3,0.0,159399.0,0.0,17640.7,174214.3,495321.7,669536.1,530050.0,1031900.8,180165.2,42
38.1,108426.0,32210.0,76216.0,20742.2,17108.8,6768.1,5643.3,0.0,159399.0,0.0,17704.9,174214.3,495428.1,669642.4,529943.6,1031900.8,180141.2,42
39.1,108426.0,32210.0,76216.0,20612.2,16978.8,6638.1,5513.3,0.0,159399.0,0.0,17102.2,174214.5,494771.4,668985.8,530600.3,1031900.8,180011.2,42
40.1,108426.0,32210.0,76216.0,20620.2,16986.8,6646.1,5521.3,0.0,159399.0,0.0,17101.8,174214.4,494782.9,668997.3,530588.8,1031900.8,180019.2,42
41.1,108426.0,32210.0,76216.0,20618.2,16984.8,6644.1,5519.3,0.0,159399.0,0.0,17101.8,174214.4,494796.7,669011.1,530575.0,1031900.8,180017.2,42
42.1,108426.0,32210.0,76216.0,20554.2,16920.8,6580.2,5455.4,0.0,159399.0,0.0,17105.8,174214.4,494795.3,669009.7,530576.5,1031900.8,179953.3,42
43.1,108426.0,32210.0,76216.0,20554.2,16920.8,6580.2,5455.4,0.0,159399.1,0.0,17105.8,174214.7,494776.5,668991.3,530595.2,1031900.8,179953.3,42
44.1,108426.0,32210.0,76216.0,20554.4,16921.0,6580.3,5455.6,0.0,159399.1,0.0,17124.1,174214.6,494819.6,669034.2,530552.1,1031900.8,179953.5,42
45.1,108426.0,32210.0,76216.0,20554.6,16921.2,6580.5,5455.8,0.0,159399.1,0.0,17124.8,174214.8,494817.5,669032.2,530554.2,1031900.8,179953.7,42
46.1,108426.0,32210.0,76216.0,20514.8,16881.4,6540.7,5415.9,0.0,159399.1,0.0,17161.9,174214.5,494845.8,669060.3,530525.9,1031900.8,179913.9,42
47.1,108426.0,32210.0,76216.0,20487.0,16853.6,6512.9,5388.2,0.0,159399.1,0.0,17180.1,174214.5,494889.2,669103.8,530482.5,1031900.8,179886.1,42
48.1,108426.0,32210.0,76216.0,20483.1,16849.7,6509.0,5384.3,0.0,159399.1,0.0,17281.1,174214.9,494985.5,669200.4,530386.3,1031900.8,179882.2,42
49.1,108426.0,32210.0,76216.0,20485.2,16851.8,6511.2,5386.4,0.0,159399.1,0.0,17539.1,174214.7,495249.1,669463.8,530122.6,1031900.8,179884.3,42
50.1,108426.0,32210.0,76216.0,20485.4,16852.0,6511.3,5386.5,0.0,159399.1,0.0,17759.3,174214.6,495533.8,669748.4,529837.9,1031900.8,179884.4,42
51.1,108426.0,32210.0,76216.0,20487.4,16854.0,6513.3,5388.6,0.0,159399.1,0.0,17429.5,174214.7,495127.3,669342.0,530244.4,1031900.8,179886.5,42
52.1,108426.0,32210.0,76216.0,20491.5,16858.1,6517.4,5392.6,0.0,159399.1,0.0,17468.7,174214.6,495188.5,669403.1,530183.2,1031900.8,179890.6,42
53.1,108426.0,32210.0,76216.0,20491.5,16858.1,6517.5,5392.7,0.0,159399.1,0.0,17523.5,174214.8,495238.2,669453.1,530133.5,1031900.8,179890.6,42
54.1,108426.0,32210.0,76216.0,20489.5,16856.1,6515.5,5390.7,0.0,159399.1,0.0,17578.7,174214.7,495266.0,669480.7,530105.7,1031900.8,179888.6,42
55.1,108426.0,32210.0,76216.0,20489.5,16856.1,6515.5,5390.7,0.0,159399.1,0.0,17634.2,174214.6,495325.4,669540.0,530046.3,1031900.8,179888.6,42
56.1,108426.0,32210.0,76216.0,20485.5,16852.1,6511.5,5386.7,0.0,159399.1,0.0,17689.0,174214.8,495406.8,669621.6,529964.9,1031900.8,179884.6,42
57.1,108426.0,32210.0,76216.0,20511.1,16874.6,6537.0,5409.2,0.0,159399.1,0.0,17761.4,174214.9,495462.5,669677.5,529909.2,1031900.8,179910.2,42
58.1,108426.0,32210.0,76216.0,20528.5,16892.1,6554.4,5426.6,0.0,159399.1,0.0,17918.2,174214.9,495619.0,669834.0,529752.7,1031900.8,179927.6,42
59.1,108426.0,32210.0,76216.0,20524.6,16888.1,6550.5,5422.7,0.0,159399.1,0.0,17808.4,174214.9,495527.9,669742.8,529843.9,1031900.8,179923.7,42
60.1,108426.0,32210.0,76216.0,20480.8,16844.3,6506.6,5378.9,0.0,159399.1,0.0,17808.9,174214.9,495497.7,669712.5,529874.1,1031900.8,179879.9,42
61.1,108426.0,32210.0,76216.0,20490.8,16854.3,6516.7,5388.9,0.0,159399.1,0.0,17809.4,174214.7,495517.2,669731.9,529854.5,1031900.8,179889.9,42
62.1,108426.0,32210.0,76216.0,20485.0,16848.5,6510.9,5383.1,0.0,159399.1,0.0,17845.8,174215.0,495573.6,669788.6,529798.1,1031900.8,179884.1,42
63.1,108426.0,32210.0,76216.0,20487.1,16850.7,6513.0,5385.2,0.0,159399.1,0.0,17912.5,174214.9,495613.9,669828.8,529757.8,1031900.8,179886.3,42
64.1,108426.0,32210.0,76216.0,20483.2,16846.7,6509.1,5381.3,0.0,159399.1,0.0,18022.8,174214.6,495748.4,669963.0,529623.3,1031900.8,179882.3,42
65.1,108426.0,32210.0,76216.0,20487.2,16850.7,6513.1,5385.3,0.0,159399.1,0.0,18151.5,174214.8,495839.0,670053.7,529532.7,1031900.8,179886.3,42
66.1,108426.0,32210.0,76216.0,20487.2,16850.7,6513.1,5385.3,0.0,159399.1,0.0,18306.9,174214.8,496015.4,670230.2,529356.3,1031900.8,179886.3,42
67.1,108426.0,32210.0,76216.0,20487.2,16850.8,6513.1,5385.3,0.0,159399.1,0.0,18491.4,174215.0,496184.9,670399.9,529186.8,1031900.8,179886.4,42
68.1,108426.0,32210.0,76216.0,20467.2,16830.8,6493.1,5365.3,0.0,159399.2,0.0,18510.0,174215.0,496223.8,670438.8,529147.9,1031900.8,179866.4,42
69.1,108426.0,32210.0,76216.0,20475.2,16838.8,6501.1,5373.3,0.0,159399.2,0.0,18510.3,174214.7,496219.1,670433.8,529152.6,1031900.8,179874.4,42
70.1,108426.0,32210.0,76216.0,20475.2,16838.8,6501.1,5373.3,0.0,159399.2,0.0,18510.6,174215.0,496249.9,670464.8,529121.8,1031900.8,179874.4,42
71.1,108426.0,32210.0,76216.0,20475.2,16838.8,6501.1,5373.3,0.0,159399.2,0.0,18508.6,174214.8,496218.2,670433.0,529153.5,1031900.8,179874.4,42
72.1,108426.0,32210.0,76216.0,20475.2,16838.8,6501.1,5373.3,0.0,159399.2,0.0,18508.4,174215.1,496207.7,670422.9,529164.0,1031900.8,179874.4,42
73.1,108426.0,32210.0,76216.0,20475.2,16838.8,6501.1,5373.3,0.0,159399.2,0.0,18508.7,174214.7,496191.9,670406.6,529179.8,1031900.8,179874.4,42
74.1,108426.0,32210.0,76216.0,20475.2,16838.8,6501.2,5373.3,0.0,159399.2,0.0,18446.2,174215.0,496165.4,670380.3,529206.4,1031900.8,179874.4,42
75.1,108426.0,32210.0,76216.0,20475.2,16838.8,6501.2,5373.4,0.0,159399.2,0.0,18446.9,174214.9,496159.1,670374.0,529212.6,1031900.8,179874.4,42
76.1,108426.0,32210.0,76216.0,20475.2,16838.8,6501.2,5373.4,0.0,159399.2,0.0,18446.6,174215.0,496144.5,670359.4,529227.2,1031900.8,179874.4,42
77.1,108426.0,32210.0,76216.0,20475.4,16838.9,6501.3,5373.5,0.0,159399.2,0.0,18446.5,174214.6,496156.6,670371.2,529215.2,1031900.8,179874.6,42
78.1,108426.0,32210.0,76216.0,20475.4,16838.9,6501.3,5373.5,0.0,159399.2,0.0,18446.7,174215.0,496159.6,670374.6,529212.1,1031900.8,179874.6,42
79.1,108426.0,32210.0,76216.0,20475.6,16839.1,6501.5,5373.7,0.0,159399.2,0.0,17776.5,174215.0,495481.7,669696.7,529890.0,1031900.8,179874.7,42
80.1,108426.0,32210.0,76216.0,20463.8,16827.4,6489.8,5361.9,0.0,159399.2,0.0,17518.0,174214.9,495223.0,669437.9,530148.7,1031900.8,179863.0,42
81.1,108426.0,32210.0,76216.0,20464.2,16827.7,6490.1,5362.3,0.0,159399.2,0.0,17518.3,174214.6,495233.7,669448.3,530138.0,1031900.8,179863.4,42
82.1,108426.0,32210.0,76216.0,20462.2,16825.7,6488.1,5360.3,0.0,159399.2,0.0,17518.7,174214.8,495261.4,669476.2,530110.3,1031900.8,179861.4,42
83.1,108426.0,32210.0,76216.0,20462.2,16825.7,6488.1,5360.3,0.0,159399.2,0.0,17550.0,174215.1,495267.6,669482.6,530104.1,1031900.8,179861.4,42
84.1,108426.0,32210.0,76216.0,20462.2,16825.7,6488.1,5360.3,0.0,159399.2,0.0,17605.6,174214.7,495304.9,669519.6,530066.8,1031900.8,179861.4,42
85.1,108426.0,32210.0,76216.0,20460.2,16823.7,6486.1,5358.3,0.0,159399.2,0.0,17605.5,174215.0,495335.6,669550.6,530036.1,1031900.8,179859.4,42
86.1,108426.0,32210.0,76216.0,20456.1,16819.7,6482.1,5354.2,0.0,159399.2,0.0,17641.1,174214.9,495360.8,669575.7,530011.0,1031900.8,179855.4,42
87.1,108426.0,32210.0,76216.0,20442.1,16805.7,6468.1,5340.2,0.0,159399.2,0.0,17715.0,174214.7,495419.3,669634.0,529952.5,1031900.8,179841.4,42
88.1,108426.0,32210.0,76216.0,20444.1,16807.7,6470.1,5342.2,0.0,159399.2,0.0,17479.9,174214.8,495184.3,669399.1,530187.4,1031900.8,179843.4,42
89.1,108426.0,32210.0,76216.0,20452.1,16815.7,6478.1,5350.2,0.0,159399.2,0.0,17506.8,174215.0,495227.6,669442.6,530144.1,1031900.8,179851.4,42
90.1,108426.0,32210.0,76216.0,20452.1,16815.7,6478.1,5350.2,0.0,159399.2,0.0,17552.9,174215.1,495265.4,669480.5,530106.3,1031900.8,179851.4,42
91.1,108426.0,32210.0,76216.0,20452.1,16815.7,6478.1,5350.2,0.0,159399.2,0.0,17607.3,174215.1,495341.6,669556.6,530030.2,1031900.8,179851.4,42
92.1,108426.0,32210.0,76216.0,20454.1,16817.7,6480.1,5352.2,0.0,159399.2,0.0,17690.3,174215.2,495409.7,669624.8,529962.1,1031900.8,179853.4,42
93.1,108426.0,32210.0,76216.0,20450.1,16813.7,6476.1,5348.2,0.0,159399.2,0.0,17774.0,174215.0,495489.2,669704.3,529882.5,1031900.8,179849.4,42
94.1,108426.0,32210.0,76216.0,20446.2,16809.7,6472.1,5344.3,0.0,159399.2,0.0,17847.3,174215.2,495572.6,669787.7,529799.2,1031900.8,179845.4,42
95.1,108426.0,32210.0,76216.0,20446.2,16809.7,6472.1,5344.3,0.0,159399.2,0.0,17939.7,174215.0,495652.3,669867.3,529719.4,1031900.8,179845.4,42
96.1,108426.0,32210.0,76216.0,20430.3,16793.9,6456.2,5328.4,0.0,159399.3,0.0,18086.3,174215.0,495809.4,670024.4,529562.3,1031900.8,179829.6,42
97.1,108426.0,32210.0,76216.0,20432.3,16795.9,6458.2,5330.4,0.0,159399.3,0.0,17912.5,174214.9,495635.7,669850.7,529736.0,1031900.8,179831.6,42
98.1,108426.0,32210.0,76216.0,20442.3,16805.9,6468.2,5340.4,0.0,159399.3,0.0,17912.7,174215.1,495620.1,669835.2,529751.6,1031900.8,179841.6,42
99.1,108426.0,32210.0,76216.0,20446.3,16809.9,6472.2,5344.4,0.0,159399.3,0.0,17912.6,174214.7,495617.0,669831.7,529754.8,1031900.8,179845.6,42
100.1,108426.0,32210.0,76216.0,20446.3,16809.9,6472.2,5344.4,0.0,159399.3,0.0,17981.2,174214.9,495691.6,669906.5,529680.1,1031900.8,179845.6,42
101.1,108426.0,32210.0,76216.0,20446.3,16809.9,6472.2,5344.4,0.0,159399.3,0.0,17082.3,174215.0,494816.7,669031.7,530555.0,1031900.8,179845.6,42
102.1,108426.0,32210.0,76216.0,20448.3,16811.9,6474.2,5346.4,0.0,159399.3,0.0,17083.1,174215.2,494786.7,669001.9,530585.0,1031900.8,179847.6,42
103.1,108426.0,32210.0,76216.0,20446.3,16809.9,6472.2,5344.4,0.0,159399.3,0.0,17123.2,174215.1,494839.3,669054.4,530532.4,1031900.8,179845.6,42
104.1,108426.0,32210.0,76216.0,20446.3,16809.9,6472.2,5344.4,0.0,159399.3,0.0,17169.5,174215.2,494883.5,669098.7,530488.2,1031900.8,179845.6,42
105.1,108426.0,32210.0,76216.0,20446.3,16809.9,6472.2,5344.4,0.0,159399.3,0.0,17215.4,174215.2,494909.8,669125.0,530461.9,1031900.8,179845.6,42
106.1,108426.0,32210.0,76216.0,20446.3,16809.9,6472.2,5344.4,0.0,159399.3,0.0,17280.1,174215.1,495004.1,669219.2,530367.6,1031900.8,179845.6,42
107.1,108426.0,32210.0,76216.0,20444.3,16807.9,6470.2,5342.4,0.0,159399.3,0.0,17334.9,174215.2,495045.0,669260.2,530326.7,1031900.8,179843.6,42
108.1,108426.0,32210.0,76216.0,20448.3,16811.9,6474.2,5346.4,0.0,159399.3,0.0,17123.6,174215.0,494820.1,669035.1,530551.6,1031900.8,179847.6,42
109.1,108426.0,32210.0,76216.0,20454.4,16817.9,6480.3,5352.5,0.0,159399.3,0.0,17026.1,174215.0,494745.6,668960.7,530626.1,1031900.8,179853.7,42
110.1,108426.0,32210.0,76216.0,20454.4,16818.0,6480.4,5352.5,0.0,159399.3,0.0,17025.9,174215.3,494751.6,668966.9,530620.1,1031900.8,179853.7,42
111.1,108426.0,32210.0,76216.0,20454.4,16818.0,6480.4,5352.5,0.0,159399.3,0.0,17026.2,174215.2,494753.2,668968.4,530618.5,1031900.8,179853.7,42
112.1,108426.0,32210.0,76216.0,20458.4,16822.0,6484.4,5356.6,0.0,159399.3,0.0,17025.9,174215.5,494726.6,668942.0,530645.1,1031900.8,179857.8,42
113.1,108426.0,32210.0,76216.0,20460.4,16824.0,6486.4,5358.6,0.0,159399.3,0.0,17035.3,174215.2,494758.2,668973.4,530613.5,1031900.8,179859.8,42
114.1,108426.0,32210.0,76216.0,20460.4,16824.0,6486.4,5358.6,0.0,159399.3,0.0,17072.8,174215.3,494783.9,668999.2,530587.8,1031900.8,179859.8,42
115.1,108426.0,32210.0,76216.0,20460.5,16824.1,6486.4,5358.6,0.0,159399.3,0.0,17081.9,174215.5,494777.1,668992.6,530594.7,1031900.8,179859.8,42
116.1,108426.0,32210.0,76216.0,20460.5,16824.1,6486.5,5358.7,0.0,159399.3,0.0,17091.4,174215.6,494808.7,669024.3,530563.0,1031900.8,179859.9,42
117.1,108426.0,32210.0,76216.0,20460.5,16824.1,6486.5,5358.7,0.0,159399.3,0.0,16687.2,174215.6,494395.1,668610.6,530976.7,1031900.8,179859.9,42
118.1,108426.0,32210.0,76216.0,20458.5,16822.1,6484.5,5356.7,0.0,159399.3,0.0,16581.1,174215.8,494283.2,668499.0,531088.6,1031900.8,179857.9,42
119.1,108426.0,32210.0,76216.0,20462.5,16826.1,6488.5,5360.7,0.0,159399.3,0.0,16580.6,174215.3,494297.1,668512.5,531074.6,1031900.8,179861.9,42
120.1,108426.0,32210.0,76216.0,20464.8,16828.3,6490.7,5362.9,0.0,159399.3,0.0,16580.4,174215.4,494297.1,668512.5,531074.6,1031900.8,179864.1,42
121.1,108426.0,32210.0,76216.0,20462.8,16826.3,6488.7,5360.9,0.0,159399.3,0.0,16603.1,174215.8,494313.2,668529.0,531058.5,1031900.8,179862.1,42
122.1,108426.0,32210.0,76216.0,20466.8,16830.3,6492.7,5364.9,0.0,159399.3,0.0,16620.5,174214.8,494322.0,668536.8,531049.7,1031900.8,179866.1,42
123.1,108426.0,32210.0,76216.0,20488.1,16851.7,6514.1,5386.3,0.0,159399.3,0.0,16621.2,174215.3,494318.1,668533.3,531053.7,1031900.8,179887.5,42
124.1,108426.0,32210.0,76216.0,20494.9,16858.5,6520.8,5393.0,0.0,159399.3,0.0,16631.7,174215.4,494315.3,668530.7,531056.4,1031900.8,179894.3,42
125.1,108426.0,32210.0,76216.0,20494.9,16858.5,6520.8,5393.0,0.0,159399.4,0.0,16641.5,174215.0,494328.0,668543.0,531043.7,1031900.8,179894.3,42
