t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0309,3241,0,105000,0.0309,0.0000,,,,,,
1.00,0.0309,3241,0,105000,0.0309,0.0000,,,,,,
1.50,0.1858,19502,0,105000,0.1857,0.0068,,,,,,
2.00,0.1858,19502,0,105000,0.1857,0.0068,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
2.50,0.1858,19502,0,105000,0.1857,0.0068,0.0957,19325,1,202000,0.0957,0.0000
3.00,0.1858,19502,0,105000,0.1857,0.0068,0.0957,19325,1,202000,0.0957,0.0000
3.50,0.1858,19502,0,105000,0.1857,0.0068,0.0957,19325,1,202000,0.0957,0.0000
4.00,0.1858,19502,0,105000,0.1857,0.0068,0.0638,12885,1,202000,0.0638,0.0000
4.50,0.1858,19502,0,105000,0.1857,0.0068,0.0638,12885,1,202000,0.0638,0.0000
5.00,0.1858,19502,0,105000,0.1857,0.0068,0.0160,3222,1,202000,0.0160,0.0000
5.50,0.2432,6454,0,105000,0.0615,0.9896,0.0160,3222,1,202000,0.0160,0.0000
6.00,0.2435,6442,0,105000,0.0614,0.9896,0.0160,3222,1,202000,0.0160,0.0000
6.50,0.2439,6441,0,105000,0.0613,0.9895,0.0323,6525,1,202000,0.0323,0.0000
7.00,0.2442,6426,0,105000,0.0612,0.9895,0.0323,6525,1,202000,0.0323,0.0000
7.50,0.2445,6421,0,105000,0.0612,0.9895,0.0161,3248,1,202000,0.0161,0.0000
8.00,0.2452,6442,0,105000,0.0614,0.9896,0.0161,3248,1,202000,0.0161,0.0000
8.50,0.2452,6442,0,105000,0.0614,0.9896,0.0323,6525,1,202000,0.0323,0.0000
9.00,0.2455,3275,0,105000,0.0312,0.9891,0.0323,6525,1,202000,0.0323,0.0000
9.50,0.2458,6524,0,105000,0.0621,0.9891,0.0163,3290,1,202000,0.0163,0.0000
10.00,0.2462,6512,0,105000,0.0620,0.9891,0.0163,3290,1,202000,0.0163,0.0000
10.50,0.2465,6511,0,105000,0.0620,0.9891,0.0163,3290,1,202000,0.0163,0.0000
11.00,0.2472,6491,0,105000,0.0618,0.9890,0.0326,6581,1,202000,0.0326,0.0000
11.50,0.2475,6504,0,105000,0.0619,0.9891,0.0326,6581,1,202000,0.0326,0.0000
12.00,0.2479,6512,0,105000,0.0620,0.9891,0.0163,3297,1,202000,0.0163,0.0000
12.50,0.2482,6562,0,105000,0.0625,0.9895,0.0163,3297,1,202000,0.0163,0.0000
13.00,0.2486,6595,0,105000,0.0628,0.9895,0.0163,3297,1,202000,0.0163,0.0000
13.50,0.2792,9764,0,105000,0.0930,0.9895,0.0331,6679,1,202000,0.0331,0.0000
14.00,0.3097,12936,0,105000,0.1232,0.9895,0.0331,6679,1,202000,0.0331,0.0000
14.50,0.3101,13033,0,105000,0.1241,0.9895,0.0489,9872,1,202000,0.0489,0.0000
15.00,0.3407,16197,0,105000,0.1543,0.9895,0.0489,9872,1,202000,0.0489,0.0000
15.50,0.3410,16315,0,105000,0.1554,0.9895,0.0489,9872,1,202000,0.0489,0.0000
16.00,0.3718,19510,0,105000,0.1858,0.9895,0.0818,16522,1,202000,0.0818,0.0000
16.50,0.3721,16269,0,105000,0.1549,0.0133,0.0818,16522,1,202000,0.0818,0.0000
17.00,0.3721,16269,0,105000,0.1549,0.0133,0.0814,16434,1,202000,0.0814,0.0000
17.50,0.4326,19350,0,105000,0.1843,0.9896,0.0814,16434,1,202000,0.0814,0.0000
18.00,0.4330,16093,0,105000,0.1533,0.0130,0.0965,19500,1,202000,0.0965,0.0000
18.50,0.4634,19265,0,105000,0.1835,0.9895,0.0965,19500,1,202000,0.0965,0.0000
19.00,0.4637,16013,0,105000,0.1525,0.0128,0.0965,19500,1,202000,0.0965,0.0000
19.50,0.4637,16013,0,105000,0.1525,0.0128,0.0800,16169,1,202000,0.0800,0.0000
20.00,0.4939,16007,0,105000,0.1524,0.9896,0.0800,16169,1,202000,0.0800,0.0000
20.50,0.4939,16007,0,105000,0.1524,0.9896,0.0641,12957,1,202000,0.0641,0.0000
21.00,0.4939,16007,0,105000,0.1524,0.9896,0.0641,12957,1,202000,0.0641,0.0000
21.50,0.4942,9617,0,105000,0.0916,0.9896,0.0323,6521,1,202000,0.0323,0.0000
22.00,0.4942,9617,0,105000,0.0916,0.9896,0.0323,6521,1,202000,0.0323,0.0000
22.50,0.4949,6434,0,105000,0.0613,0.9895,0.0323,6521,1,202000,0.0323,0.0000
