t,p_used_tokens,p_usage,p_used_gb,p_running,p_queue,p_capacity,d_used_tokens,d_usage,d_used_gb,d_running,d_queue,d_capacity,d_transfer_req,d_prealloc_req,d_prealloc_usage
0.036,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,0.0,0.0,0.0,,,208929.0,0.0,0.0,0.0
0.612,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,0.0,0.0,0.0,,,208929.0,0.0,0.0,0.0
1.275,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,6072.0,0.029062504487170283,0.7412109375,4.0,,208929.0,1.0,0.0,0.0
1.836,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,6072.0,0.029062504487170283,0.7412109375,4.0,0.0,208929.0,1.0,0.0,0.0
2.415,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,9910.0,0.04743238133528615,1.209716796875,8.0,0.0,208929.0,0.0,0.0,0.0
2.973,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,9910.0,0.04743238133528615,1.209716796875,8.0,0.0,208929.0,0.0,0.0,0.0
3.532,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,10230.0,0.04896400212512385,1.248779296875,8.0,0.0,208929.0,0.0,0.0,0.0
4.092,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,10230.0,0.04896400212512385,1.248779296875,8.0,0.0,208929.0,0.0,0.0,0.0
4.654,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,7873.0,0.03768265774497557,0.9610595703125,6.0,0.0,208929.0,0.0,0.0,0.0
5.205,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,7873.0,0.03768265774497557,0.9610595703125,6.0,0.0,208929.0,0.0,0.0,0.0
5.768,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,5367.0,0.02568815243455911,0.6551513671875,4.0,0.0,208929.0,0.0,0.0,0.0
6.329,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
6.883,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
7.445,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
7.996,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
8.546,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
9.095,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
9.639,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
10.188,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
10.736,1.0,4.7863149682428e-06,0.0001220703125,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
11.284,1199.0,0.01,0.1463623046875,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
11.833,1199.0,0.01,0.1463623046875,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
12.381,1199.0,0.01,0.1463623046875,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
12.931,1199.0,0.01,0.1463623046875,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
13.479,1199.0,0.01,0.1463623046875,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
14.027,1199.0,0.01,0.1463623046875,,,208929.0,2738.0,0.013104930383048786,0.334228515625,2.0,0.0,208929.0,0.0,0.0,0.0
14.576,1199.0,0.01,0.1463623046875,,,208929.0,4296.0,0.02056200910357107,0.5244140625,1.0,0.0,208929.0,1.0,0.0,0.0
15.108,1199.0,0.01,0.1463623046875,,,208929.0,4296.0,0.02056200910357107,0.5244140625,1.0,0.0,208929.0,1.0,0.0,0.0
15.643,1199.0,0.01,0.1463623046875,,,208929.0,8733.0,0.04179888861766438,1.0660400390625,4.0,0.0,208929.0,0.0,0.0,0.0
