t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784184832.0,0.0,81700,20313,20313,20477,20597,26900,27235
1784184833.1,1.1,82980,20939,20967,20477,20597,26995,27235
1784184834.2,2.2,83094,20939,21081,20477,20597,27040,27246
1784184835.3,3.3,83098,20941,21081,20479,20597,27119,27451
1784184836.4,4.4,83122,20941,21083,20479,20619,27383,28657
1784184837.5,5.4,83122,20941,21083,20479,20619,27190,29896
1784184838.6,6.6,83122,20941,21083,20479,20619,27195,30865
1784184839.6,7.6,83144,20943,21083,20499,20619,27319,31751
1784184840.7,8.7,83144,20943,21083,20499,20619,27261,32772
1784184841.8,9.8,83144,20943,21083,20499,20619,27433,33926
1784184842.9,10.9,83146,20945,21083,20499,20619,27441,34536
1784184844.0,12.0,83148,20945,21085,20499,20619,27337,35591
1784184845.2,13.2,83148,20945,21085,20499,20619,27380,36155
1784184846.3,14.3,83148,20945,21085,20499,20619,27462,36208
1784184847.4,15.4,83148,20945,21085,20499,20619,27386,36221
1784184848.5,16.5,83148,20945,21085,20499,20619,27393,36832
1784184849.5,17.5,83148,20945,21085,20499,20619,27419,36905
1784184850.6,18.6,83148,20945,21085,20499,20619,27423,37000
1784184851.7,19.7,83148,20945,21085,20499,20619,27400,37717
1784184852.8,20.8,83148,20945,21085,20499,20619,27416,38307
1784184853.9,21.9,83148,20945,21085,20499,20619,27419,39373
1784184855.0,23.0,83148,20945,21085,20499,20619,27444,40144
1784184856.2,24.1,83148,20945,21085,20499,20619,27498,40355
1784184857.3,25.3,83148,20945,21085,20499,20619,27440,40881
1784184858.3,26.3,83148,20945,21085,20499,20619,27441,41058
1784184859.4,27.4,83148,20945,21085,20499,20619,27500,41398
1784184860.5,28.5,83148,20945,21085,20499,20619,27506,41941
1784184861.6,29.6,83148,20945,21085,20499,20619,27481,42384
1784184862.7,30.7,83148,20945,21085,20499,20619,27478,42789
1784184863.8,31.8,83148,20945,21085,20499,20619,27594,43673
1784184864.9,32.9,83148,20945,21085,20499,20619,27500,44331
1784184866.0,34.0,83148,20945,21085,20499,20619,27496,44990
1784184867.1,35.1,83148,20945,21085,20499,20619,27517,45545
1784184868.2,36.2,83148,20945,21085,20499,20619,27491,45591
1784184869.3,37.3,83148,20945,21085,20499,20619,27487,45619
1784184870.4,38.4,83148,20945,21085,20499,20619,27490,45619
1784184871.5,39.5,83148,20945,21085,20499,20619,27500,45863
1784184872.6,40.6,83148,20945,21085,20499,20619,27526,46634
1784184873.7,41.7,83148,20945,21085,20499,20619,27535,47488
1784184874.9,42.9,83148,20945,21085,20499,20619,27493,48351
1784184876.0,44.0,83148,20945,21085,20499,20619,27495,48723
1784184877.0,45.0,83148,20945,21085,20499,20619,27504,49075
1784184878.1,46.1,83148,20945,21085,20499,20619,27683,49173
1784184879.3,47.2,83148,20945,21085,20499,20619,27705,49743
1784184880.4,48.4,83148,20945,21085,20499,20619,27617,49875
1784184881.5,49.5,83148,20945,21085,20499,20619,27537,50348
1784184882.6,50.5,83148,20945,21085,20499,20619,27536,51222
1784184883.7,51.7,83148,20945,21085,20499,20619,27578,51508
1784184884.8,52.8,83148,20945,21085,20499,20619,27649,51514
1784184885.9,53.9,83148,20945,21085,20499,20619,27620,51532
1784184887.0,55.0,83148,20945,21085,20499,20619,27552,52147
1784184888.1,56.1,83148,20945,21085,20499,20619,27543,52751
1784184889.2,57.2,83148,20945,21085,20499,20619,27613,53002
1784184890.3,58.3,83148,20945,21085,20499,20619,27567,53768
1784184891.4,59.4,83148,20945,21085,20499,20619,27531,54846
1784184892.5,60.5,83148,20945,21085,20499,20619,27565,55572
1784184893.6,61.6,83148,20945,21085,20499,20619,27632,56430
1784184894.7,62.7,83148,20945,21085,20499,20619,27623,56569
1784184895.8,63.8,83148,20945,21085,20499,20619,27600,56862
1784184896.9,64.9,83148,20945,21085,20499,20619,27583,57538
1784184898.0,66.0,83148,20945,21085,20499,20619,27583,57914
1784184899.1,67.1,83148,20945,21085,20499,20619,27634,58912
1784184900.2,68.2,83148,20945,21085,20499,20619,27641,59549
1784184901.3,69.3,83148,20945,21085,20499,20619,27586,60113
1784184902.4,70.4,83148,20945,21085,20499,20619,27580,60634
1784184903.5,71.5,83148,20945,21085,20499,20619,27608,60646
1784184904.6,72.6,83148,20945,21085,20499,20619,27765,60670
1784184905.8,73.8,83148,20945,21085,20499,20619,27593,60684
1784184906.9,74.9,83148,20945,21085,20499,20619,27589,60765
1784184908.0,76.0,83148,20945,21085,20499,20619,27595,61402
1784184909.1,77.1,83148,20945,21085,20499,20619,27628,61695
1784184910.2,78.2,83148,20945,21085,20499,20619,27649,62425
1784184911.3,79.3,83148,20945,21085,20499,20619,27599,63324
1784184912.5,80.4,83148,20945,21085,20499,20619,27568,63884
1784184913.6,81.5,83148,20945,21085,20499,20619,27635,64456
1784184914.7,82.7,83148,20945,21085,20499,20619,27609,64882
1784184915.8,83.8,83148,20945,21085,20499,20619,27601,65691
1784184916.9,84.9,83148,20945,21085,20499,20619,27803,66338
1784184918.0,86.0,83148,20945,21085,20499,20619,27594,67154
1784184919.2,87.1,83148,20945,21085,20499,20619,27631,67629
1784184920.3,88.3,83148,20945,21085,20499,20619,27648,68076
1784184921.4,89.4,83148,20945,21085,20499,20619,27633,68157
1784184922.5,90.5,83148,20945,21085,20499,20619,27605,68506
1784184923.6,91.6,83148,20945,21085,20499,20619,27635,68984
1784184924.7,92.7,83148,20945,21085,20499,20619,27927,69061
1784184925.8,93.8,83148,20945,21085,20499,20619,27696,69298
1784184927.0,95.0,83148,20945,21085,20499,20619,27604,70168
1784184928.1,96.1,83148,20945,21085,20499,20619,27623,70687
1784184929.2,97.2,83148,20945,21085,20499,20619,27735,71270
1784184930.3,98.3,83148,20945,21085,20499,20619,27638,71433
1784184931.4,99.4,83148,20945,21085,20499,20619,27685,72324
1784184932.5,100.5,83148,20945,21085,20499,20619,27652,72979
1784184933.6,101.6,83148,20945,21085,20499,20619,27788,73851
1784184934.8,102.8,83148,20945,21085,20499,20619,27670,74164
1784184935.9,103.9,83148,20945,21085,20499,20619,27671,74551
1784184937.0,105.0,83148,20945,21085,20499,20619,27638,75346
1784184938.1,106.1,83148,20945,21085,20499,20619,27624,75609
1784184939.2,107.2,83148,20945,21085,20499,20619,27653,75800
1784184940.3,108.3,83148,20945,21085,20499,20619,27673,76331
1784184941.4,109.4,83148,20945,21085,20499,20619,27606,77231
1784184942.5,110.5,83148,20945,21085,20499,20619,27610,78205
1784184943.6,111.6,83148,20945,21085,20499,20619,27611,78788
1784184944.7,112.7,83148,20945,21085,20499,20619,27666,79314
1784184945.8,113.8,83148,20945,21085,20499,20619,27656,80020
1784184946.9,114.9,83148,20945,21085,20499,20619,27761,80879
1784184948.0,116.0,83148,20945,21085,20499,20619,27644,81426
1784184949.1,117.1,83148,20945,21085,20499,20619,27686,81457
1784184950.2,118.2,83148,20945,21085,20499,20619,27790,82007
1784184951.3,119.3,83148,20945,21085,20499,20619,27675,82733
1784184952.4,120.4,83148,20945,21085,20499,20619,27641,83714
1784184953.5,121.5,83148,20945,21085,20499,20619,27654,84408
1784184954.6,122.6,83148,20945,21085,20499,20619,27655,84963
1784184955.8,123.7,83148,20945,21085,20499,20619,27749,85323
1784184956.9,124.9,83148,20945,21085,20499,20619,27669,85812
1784184958.0,126.0,83148,20945,21085,20499,20619,27633,85823
1784184959.0,127.0,83148,20945,21085,20499,20619,27674,85836
1784184960.1,128.1,83148,20945,21085,20499,20619,27659,86300
1784184961.2,129.2,83148,20945,21085,20499,20619,27681,86655
1784184962.3,130.3,83148,20945,21085,20499,20619,27698,87191
1784184963.4,131.4,83148,20945,21085,20499,20619,27651,88150
1784184964.5,132.5,83148,20945,21085,20499,20619,27755,88745
1784184965.6,133.6,83148,20945,21085,20499,20619,27821,88955
1784184966.7,134.7,83148,20945,21085,20499,20619,27757,89680
1784184967.8,135.8,83148,20945,21085,20499,20619,27683,90235
1784184968.9,136.9,83148,20945,21085,20499,20619,27713,90777
1784184970.1,138.0,83148,20945,21085,20499,20619,27752,91446
1784184971.2,139.2,83148,20945,21085,20499,20619,27715,92015
1784184972.3,140.3,83148,20945,21085,20499,20619,27714,92504
1784184973.4,141.4,83148,20945,21085,20499,20619,27635,92596
1784184974.5,142.5,83148,20945,21085,20499,20619,27710,93190
1784184975.6,143.6,83148,20945,21085,20499,20619,27731,93583
1784184976.7,144.7,83148,20945,21085,20499,20619,27720,94393
1784184977.8,145.8,83148,20945,21085,20499,20619,27876,94764
