t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784789797.8,103.7,82604,20823,20823,20479,20479,19655,20158
1784789798.9,104.8,82604,20823,20823,20479,20479,19653,20158
1784789800.0,105.9,82604,20823,20823,20479,20479,19654,20158
1784789801.1,106.9,82604,20823,20823,20479,20479,19654,20158
1784789802.1,108.0,82604,20823,20823,20479,20479,19653,20158
1784789803.2,109.0,82604,20823,20823,20479,20479,19652,20158
1784789804.2,110.1,82604,20823,20823,20479,20479,19654,20158
1784789805.3,111.2,82604,20823,20823,20479,20479,19655,20158
1784789806.4,112.3,82604,20823,20823,20479,20479,19655,20158
1784789807.4,113.3,82604,20823,20823,20479,20479,19658,20158
1784789808.5,114.4,82604,20823,20823,20479,20479,19657,20158
1784789809.6,115.5,82604,20823,20823,20479,20479,19657,20158
1784789810.7,116.6,82604,20823,20823,20479,20479,19657,20158
1784789811.8,117.6,82604,20823,20823,20479,20479,19654,20158
1784789812.8,118.7,82604,20823,20823,20479,20479,19654,20158
1784789813.9,119.8,82604,20823,20823,20479,20479,19653,20158
1784789814.9,120.8,82604,20823,20823,20479,20479,19654,20158
1784789816.0,121.9,82604,20823,20823,20479,20479,19651,20158
1784789817.1,122.9,82604,20823,20823,20479,20479,19651,20158
1784789818.1,124.0,82604,20823,20823,20479,20479,19650,20158
1784789819.2,125.1,82604,20823,20823,20479,20479,19649,20158
1784789820.3,126.1,82604,20823,20823,20479,20479,19650,20158
1784789821.3,127.2,82604,20823,20823,20479,20479,19650,20158
1784789822.4,128.3,82604,20823,20823,20479,20479,19646,20158
1784789823.5,129.3,82604,20823,20823,20479,20479,19646,20158
1784789824.5,130.4,82604,20823,20823,20479,20479,19648,20158
1784789825.6,131.5,82604,20823,20823,20479,20479,19647,20158
1784789826.7,132.5,82604,20823,20823,20479,20479,19648,20158
1784789827.7,133.6,82604,20823,20823,20479,20479,19647,20158
1784789828.8,134.7,82604,20823,20823,20479,20479,19648,20158
1784789829.9,135.8,82604,20823,20823,20479,20479,19650,20158
