t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
0.00,0.0000,0,0,105000,0.0000,0.0000,,,,,,
0.50,0.0608,6383,0,105000,0.0608,0.0000,,,,,,
1.00,0.0608,6383,0,105000,0.0608,0.0000,,,,,,
1.50,0.0608,6383,0,105000,0.0608,0.0000,,,,,,
2.00,0.0608,6383,0,105000,0.0608,0.0000,,,,,,
2.50,0.0608,6383,0,105000,0.0608,0.0000,,,,,,
3.00,0.0608,6383,0,105000,0.0608,0.0000,,,,,,
3.50,0.1989,20881,0,105000,0.1989,0.4397,,,,,,
4.00,0.3067,32197,0,105000,0.3066,0.2839,,,,,,
4.50,0.3067,32197,0,105000,0.3066,0.2839,,,,,,
5.00,0.3067,32197,0,105000,0.3066,0.2839,,,,,,
5.50,0.3067,32197,0,105000,0.3066,0.2839,,,,,,
6.00,0.3067,32197,0,105000,0.3066,0.2839,,,,,,
6.50,0.3847,40389,0,105000,0.3847,0.0050,,,,,,
7.00,0.3847,40389,0,105000,0.3847,0.0050,,,,,,
7.50,0.3847,40389,0,105000,0.3847,0.0050,,,,,,
8.00,0.3847,40389,0,105000,0.3847,0.0050,,,,,,
8.50,0.3847,40389,0,105000,0.3847,0.0050,,,,,,
9.00,0.3847,40389,0,105000,0.3847,0.0050,,,,,,
9.50,0.3847,40389,0,105000,0.3847,0.0050,,,,,,
10.00,0.3847,40389,0,105000,0.3847,0.0050,,,,,,
10.50,0.4627,42239,0,105000,0.4023,0.0000,,,,,,
11.00,0.4627,42239,0,105000,0.4023,0.0000,,,,,,
11.50,0.4627,42239,0,105000,0.4023,0.0000,,,,,,
12.00,0.4627,42239,0,105000,0.4023,0.0000,,,,,,
12.50,0.4627,42239,0,105000,0.4023,0.0000,,,,,,
13.00,0.4627,42239,0,105000,0.4023,0.0000,,,,,,
13.50,0.4627,42239,0,105000,0.4023,0.0000,,,,,,
14.00,0.4627,42239,0,105000,0.4023,0.0000,,,,,,
14.50,0.4627,42239,0,105000,0.4023,0.0000,,,,,,
15.00,0.4836,50775,0,105000,0.4836,0.9947,,,,,,
15.50,0.4836,50775,0,105000,0.4836,0.9947,,,,,,
16.00,0.4836,50775,0,105000,0.4836,0.9947,,,,,,
16.50,0.4836,50775,0,105000,0.4836,0.9947,,,,,,
17.00,0.4836,50775,0,105000,0.4836,0.9947,,,,,,
# metric: P0:cache_occupancy D0:cache_occupancy
17.50,0.4836,50775,0,105000,0.4836,0.9947,0.2213,44711,1,202000,0.2213,0.0000
18.00,0.4836,50775,0,105000,0.4836,0.9947,0.2213,44711,1,202000,0.2213,0.0000
18.50,0.4836,50775,0,105000,0.4836,0.9947,0.2213,44711,1,202000,0.2213,0.0000
19.00,0.4836,50775,0,105000,0.4836,0.9947,0.2213,44711,1,202000,0.2213,0.0000
19.50,0.4836,50775,0,105000,0.4836,0.9947,0.2213,44711,1,202000,0.2213,0.0000
20.00,0.4836,50775,0,105000,0.4836,0.9947,0.1582,31952,1,202000,0.1582,0.0000
20.50,0.4839,31761,0,105000,0.3025,0.9947,0.1582,31952,1,202000,0.1582,0.0000
21.00,0.4839,31761,0,105000,0.3025,0.9947,0.1582,31952,1,202000,0.1582,0.0000
21.50,0.4843,31806,0,105000,0.3029,0.9947,0.1582,31952,1,202000,0.1582,0.0000
22.00,0.4846,31846,0,105000,0.3033,0.9947,0.1269,25635,1,202000,0.1269,0.0000
22.50,0.4846,31846,0,105000,0.3033,0.9947,0.1269,25635,1,202000,0.1269,0.0000
23.00,0.4849,31911,0,105000,0.3039,0.9947,0.1269,25635,1,202000,0.1269,0.0000
23.50,0.4849,31911,0,105000,0.3039,0.9947,0.1269,25635,1,202000,0.1269,0.0000
24.00,0.4852,31909,0,105000,0.3039,0.9947,0.1269,25635,1,202000,0.1269,0.0000
24.50,0.4852,31909,0,105000,0.3039,0.9947,0.1590,32115,1,202000,0.1590,0.0000
25.00,0.4856,31893,0,105000,0.3037,0.9947,0.1590,32115,1,202000,0.1590,0.0000
25.50,0.4856,31893,0,105000,0.3037,0.9947,0.1590,32115,1,202000,0.1590,0.0000
26.00,0.4859,31874,0,105000,0.3036,0.9947,0.1590,32115,1,202000,0.1590,0.0000
26.50,0.4859,31874,0,105000,0.3036,0.9947,0.1270,25663,1,202000,0.1270,0.0000
27.00,0.4862,31916,0,105000,0.3040,0.9944,0.1270,25663,1,202000,0.1270,0.0000
27.50,0.4866,31933,0,105000,0.3041,0.9944,0.1270,25663,1,202000,0.1270,0.0000
