elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
29.1,75578.0,31892.0,43686.0,34339.7,30969.3,20364.5,19501.1,0.0,155130.7,0.0,32844.7,169921.6,513647.2,683568.8,511724.5,1031900.8,189470.4,42
30.1,75578.0,31892.0,43686.0,33979.7,30609.3,20004.5,19141.1,0.0,155130.7,0.0,32844.8,169921.6,513661.0,683582.6,511710.8,1031900.8,189110.4,42
31.1,75578.0,31892.0,43686.0,33731.8,30361.4,19756.6,18893.2,0.0,155130.7,0.0,32882.1,169921.6,513690.0,683611.7,511681.7,1031900.8,188862.5,42
32.1,75578.0,31892.0,43686.0,33221.9,29851.5,19246.7,18383.3,0.0,155130.7,0.0,32955.3,169922.0,513780.6,683702.5,511591.2,1031900.8,188352.7,42
33.1,75578.0,31892.0,43686.0,32962.0,29591.6,18986.8,18123.4,0.0,155130.7,0.0,32983.2,169922.0,513798.8,683720.8,511572.9,1031900.8,188092.7,42
34.1,75580.0,31892.0,43688.0,32658.0,29287.6,18682.8,17819.4,0.0,155130.7,0.0,33026.1,169922.3,513846.9,683769.2,511524.8,1031900.8,187788.7,42
35.1,75582.0,31894.0,43688.0,32410.0,29039.6,18434.8,17571.4,0.0,155130.7,0.0,33044.6,169922.2,513877.4,683799.7,511494.3,1031900.8,187540.8,42
36.1,75582.0,31894.0,43688.0,32160.1,28789.7,18184.9,17321.5,0.0,155130.7,0.0,33044.7,169922.2,513886.8,683809.0,511484.9,1031900.8,187290.9,42
37.1,75582.0,31894.0,43688.0,31908.2,28537.8,17933.0,17069.6,0.0,155130.7,0.0,33044.7,169922.0,513882.4,683804.5,511489.3,1031900.8,187038.9,42
38.1,75582.0,31894.0,43688.0,31616.2,28245.8,17641.0,16777.6,0.0,155130.7,0.0,33044.8,169922.0,513888.7,683810.7,511483.0,1031900.8,186747.0,42
39.1,75582.0,31894.0,43688.0,31109.5,27739.1,17134.3,16270.9,0.0,155130.7,0.0,33150.9,169922.1,514013.8,683935.9,511357.9,1031900.8,186240.3,42
40.1,75582.0,31894.0,43688.0,30866.2,27493.2,16891.0,16025.0,0.0,155130.8,0.0,33187.9,169922.2,514056.2,683978.3,511315.6,1031900.8,185997.0,42
41.1,75582.0,31894.0,43688.0,30608.5,27235.5,16633.3,15767.3,0.0,155130.8,0.0,33032.1,169922.2,513881.6,683803.8,511490.1,1031900.8,185739.3,42
42.1,75582.0,31894.0,43688.0,30678.6,27305.6,16703.4,15837.4,0.0,154615.0,0.0,33125.8,169409.4,514376.0,683785.4,510995.7,1031900.8,185293.6,42
43.1,75582.0,31894.0,43688.0,30422.7,27049.6,16447.4,15581.4,0.0,154595.8,0.0,33263.2,169390.5,514536.0,683926.4,510835.7,1031900.8,185018.4,42
44.1,75582.0,31894.0,43688.0,30166.7,26793.7,16191.5,15325.5,0.0,154595.8,0.0,33427.7,169390.4,514684.6,684075.0,510687.1,1031900.8,184762.4,42
45.1,75582.0,31894.0,43688.0,30290.4,26917.4,16315.2,15449.2,0.0,154322.6,0.0,33243.2,169119.8,514879.9,683999.7,510487.9,1031900.8,184613.0,42
46.1,75582.0,31894.0,43688.0,29778.6,26405.6,15803.4,14937.4,0.0,154188.2,0.0,33298.4,168986.0,514967.7,683953.7,510404.0,1031900.8,183966.8,42
47.1,75582.0,31894.0,43688.0,29522.6,26149.6,15547.4,14681.4,0.0,154188.2,0.0,33049.6,168986.0,514723.8,683709.8,510647.9,1031900.8,183710.8,42
48.1,75582.0,31894.0,43688.0,29690.1,26317.1,15714.9,14848.9,0.0,154188.2,0.0,33052.6,168988.2,514999.3,683987.5,510372.4,1031900.8,183878.4,42
49.1,75582.0,31894.0,43688.0,29430.3,26057.2,15455.0,14589.0,0.0,153788.8,0.0,33053.4,168589.6,515118.2,683707.8,510253.6,1031900.8,183219.0,42
50.1,75582.0,31894.0,43688.0,29436.3,26063.2,15461.0,14595.0,0.0,153788.8,0.0,33056.3,168589.6,515130.0,683719.6,510241.7,1031900.8,183225.0,42
51.1,75582.0,31894.0,43688.0,29787.1,26414.1,15811.9,14945.9,0.0,153788.8,0.0,33056.4,168590.9,515326.8,683917.7,510044.9,1031900.8,183575.9,42
52.1,75582.0,31894.0,43688.0,29275.5,25902.5,15300.3,14434.3,0.0,153368.8,0.0,33057.4,168172.0,515528.8,683700.8,509842.9,1031900.8,182644.3,42
53.1,75582.0,31894.0,43688.0,29013.5,25640.5,15038.3,14172.3,0.0,153368.8,0.0,32943.4,168172.0,515424.5,683596.5,509947.2,1031900.8,182382.3,42
54.1,75582.0,31894.0,43688.0,28757.5,25384.5,14782.3,13916.3,0.0,153368.8,0.0,32943.4,168172.7,515408.6,683581.3,509963.1,1031900.8,182126.3,42
55.1,75582.0,31894.0,43688.0,29058.5,25685.5,15083.3,14217.3,0.0,152967.1,0.0,32970.8,167773.5,515871.2,683644.7,509500.5,1031900.8,182025.6,42
56.1,75582.0,31894.0,43688.0,28796.6,25423.6,14821.4,13955.4,0.0,152962.0,0.0,32970.8,167768.7,515853.2,683622.0,509518.5,1031900.8,181758.6,42
57.1,75582.0,31894.0,43688.0,28543.0,25170.0,14567.8,13701.8,0.0,152962.0,0.0,32971.4,167768.7,515859.1,683627.8,509512.6,1031900.8,181505.0,42
58.1,75582.0,31894.0,43688.0,28897.7,25524.7,14922.5,14056.5,0.0,152962.0,0.0,32972.3,167768.7,515897.0,683665.6,509474.8,1031900.8,181859.7,42
59.1,75582.0,31894.0,43688.0,28547.9,25174.8,14572.6,13706.6,0.0,152559.5,0.0,32972.8,167369.0,516250.0,683619.0,509121.7,1031900.8,181107.4,42
60.1,75582.0,31894.0,43688.0,28289.9,24916.8,14314.6,13448.6,0.0,152558.8,0.0,33024.3,167368.3,516300.8,683669.1,509071.0,1031900.8,180848.6,42
61.1,75582.0,31894.0,43688.0,28754.9,25381.9,14779.7,13913.7,0.0,152558.8,0.0,33134.9,167369.8,516745.0,684114.8,508626.7,1031900.8,181313.7,42
62.1,75582.0,31894.0,43688.0,28499.0,25126.0,14523.8,13657.8,0.0,152156.5,0.0,33018.3,166968.6,516689.5,683658.1,508682.2,1031900.8,180655.5,42
63.1,75582.0,31894.0,43688.0,28243.0,24870.0,14267.8,13401.8,0.0,152156.5,0.0,33027.5,166968.5,516703.8,683672.3,508668.0,1031900.8,180399.5,42
64.1,75582.0,31894.0,43688.0,27987.0,24614.0,14011.8,13145.8,0.0,152156.5,0.0,33036.7,166968.4,516710.7,683679.2,508661.0,1031900.8,180143.5,42
65.1,75582.0,31894.0,43688.0,27475.0,24102.0,13499.8,12633.8,0.0,152156.5,0.0,33055.1,166968.4,516740.8,683709.2,508630.9,1031900.8,179631.5,42
66.1,75582.0,31894.0,43688.0,27221.0,23848.0,13245.8,12379.8,0.0,152156.5,0.0,33073.1,166968.6,516752.0,683720.7,508619.7,1031900.8,179377.5,42
67.1,75582.0,31894.0,43688.0,27427.2,24054.1,13451.9,12585.9,0.0,152156.5,0.0,33141.4,166968.7,516841.5,683810.2,508530.2,1031900.8,179583.7,42
68.1,75582.0,31894.0,43688.0,27603.2,24230.2,13627.9,12761.9,0.0,151787.4,0.0,33186.4,166601.7,517218.1,683819.8,508153.6,1031900.8,179390.6,42
69.1,75582.0,31894.0,43688.0,27353.3,23980.3,13378.1,12512.1,0.0,151722.2,0.0,33250.9,166537.0,517327.9,683864.9,508043.8,1031900.8,179075.5,42
70.1,75582.0,31894.0,43688.0,27103.5,23730.5,13128.3,12262.3,0.0,151722.3,0.0,33288.0,166537.4,517384.5,683921.9,507987.2,1031900.8,178825.8,42
