t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
27.50,0.4287,45014,0,105000,0.4287,0.0000,0.1918,38735,1,202000,0.1918,0.0000
28.00,0.4287,45014,0,105000,0.4287,0.0000,0.2545,51413,1,202000,0.2545,0.0000
28.50,0.4287,45014,0,105000,0.4287,0.0000,0.2545,51413,1,202000,0.2545,0.0000
29.00,0.3670,38533,0,105000,0.3670,0.0000,0.2545,51413,1,202000,0.2545,0.0000
29.50,0.3670,38533,0,105000,0.3670,0.0000,0.1907,38531,1,202000,0.1907,0.0000
30.00,0.3670,38533,0,105000,0.3670,0.0000,0.1907,38531,1,202000,0.1907,0.0000
30.50,0.3051,32034,0,105000,0.3051,0.0000,0.1907,38531,1,202000,0.1907,0.0000
31.00,0.3660,38425,0,105000,0.3660,0.0000,0.1907,38531,1,202000,0.1907,0.0000
31.50,0.3660,38425,0,105000,0.3660,0.0000,0.1907,38531,1,202000,0.1907,0.0000
32.00,0.3047,31990,0,105000,0.3047,0.0000,0.1905,38476,1,202000,0.1905,0.0000
32.50,0.3654,38368,0,105000,0.3654,0.0000,0.1905,38476,1,202000,0.1905,0.0000
33.00,0.3654,38368,0,105000,0.3654,0.0000,0.1905,38476,1,202000,0.1905,0.0000
33.50,0.3654,38368,0,105000,0.3654,0.0000,0.1584,31993,1,202000,0.1584,0.0000
34.00,0.3047,31993,0,105000,0.3047,0.0000,0.1584,31993,1,202000,0.1584,0.0000
34.51,0.3047,31993,0,105000,0.3047,0.0000,0.1584,31993,1,202000,0.1584,0.0000
35.01,0.3047,31993,0,105000,0.3047,0.0000,0.1584,31993,1,202000,0.1584,0.0000
35.51,0.3047,31993,0,105000,0.3047,0.0000,0.1584,31993,1,202000,0.1584,0.0000
36.01,0.1830,19212,0,105000,0.1830,0.0000,0.1588,32081,1,202000,0.1588,0.0000
36.51,0.1835,19269,0,105000,0.1835,0.0000,0.1588,32081,1,202000,0.1588,0.0000
37.01,0.1835,19269,0,105000,0.1835,0.0000,0.1588,32081,1,202000,0.1588,0.0000
37.51,0.2447,25694,0,105000,0.2447,0.0000,0.1272,25692,1,202000,0.1272,0.0000
38.01,0.2447,25692,0,105000,0.2447,0.0000,0.1272,25692,1,202000,0.1272,0.0000
38.51,0.2447,25692,0,105000,0.2447,0.0000,0.1272,25692,1,202000,0.1272,0.0000
39.01,0.2448,25700,0,105000,0.2448,0.0000,0.1272,25692,1,202000,0.1272,0.0000
39.51,0.2448,25700,0,105000,0.2448,0.0000,0.1272,25692,1,202000,0.1272,0.0000
40.01,0.2450,25727,0,105000,0.2450,0.0000,0.1591,32147,1,202000,0.1591,0.0000
40.51,0.2450,25727,0,105000,0.2450,0.0000,0.1591,32147,1,202000,0.1591,0.0000
41.01,0.1838,19299,0,105000,0.1838,0.0000,0.1591,32147,1,202000,0.1591,0.0000
41.51,0.1841,19327,0,105000,0.1841,0.0000,0.1276,25780,1,202000,0.1276,0.0000
42.01,0.1841,19327,0,105000,0.1841,0.0000,0.1276,25780,1,202000,0.1276,0.0000
42.51,0.1840,19318,0,105000,0.1840,0.0000,0.1276,25780,1,202000,0.1276,0.0000
43.01,0.1840,19318,0,105000,0.1840,0.0000,0.1276,25780,1,202000,0.1276,0.0000
43.51,0.1845,19377,0,105000,0.1845,0.0000,0.1276,25780,1,202000,0.1276,0.0000
44.01,0.2461,25838,0,105000,0.2461,0.0000,0.1599,32297,1,202000,0.1599,0.0000
44.51,0.2461,25836,0,105000,0.2461,0.0000,0.1599,32297,1,202000,0.1599,0.0000
45.01,0.2461,25836,0,105000,0.2461,0.0000,0.1599,32297,1,202000,0.1599,0.0000
45.51,0.2461,25844,0,105000,0.2461,0.0000,0.1599,32297,1,202000,0.1599,0.0000
46.01,0.2461,25844,0,105000,0.2461,0.0000,0.1281,25870,1,202000,0.1281,0.0000
46.51,0.2464,25870,0,105000,0.2464,0.0000,0.1281,25870,1,202000,0.1281,0.0000
47.01,0.2464,25870,0,105000,0.2464,0.0000,0.1281,25870,1,202000,0.1281,0.0000
47.51,0.1848,19406,0,105000,0.1848,0.0000,0.1281,25870,1,202000,0.1281,0.0000
48.01,0.1851,19433,0,105000,0.1851,0.0000,0.1282,25902,1,202000,0.1282,0.0000
48.51,0.1851,19433,0,105000,0.1851,0.0000,0.1282,25902,1,202000,0.1282,0.0000
49.01,0.2470,25930,0,105000,0.2470,0.0000,0.1282,25902,1,202000,0.1282,0.0000
49.51,0.2470,25930,0,105000,0.2470,0.0000,0.1282,25902,1,202000,0.1282,0.0000
50.01,0.2464,25870,0,105000,0.2464,0.0000,0.1602,32366,1,202000,0.1602,0.0000
50.51,0.3082,32366,0,105000,0.3082,0.0000,0.1602,32366,1,202000,0.1602,0.0000
51.01,0.3082,32364,0,105000,0.3082,0.0000,0.1602,32366,1,202000,0.1602,0.0000
51.51,0.3690,38748,0,105000,0.3690,0.0000,0.1602,32366,1,202000,0.1602,0.0000
52.01,0.3691,38756,0,105000,0.3691,0.0000,0.2235,45146,1,202000,0.2235,0.0000
52.51,0.3679,38632,0,105000,0.3679,0.0000,0.2235,45146,1,202000,0.2235,0.0000
53.01,0.4286,45001,0,105000,0.4286,0.0000,0.2235,45146,1,202000,0.2235,0.0000
53.51,0.4286,45001,0,105000,0.4286,0.0000,0.2235,45146,1,202000,0.2235,0.0000
54.01,0.3676,38600,0,105000,0.3676,0.0000,0.1911,38600,1,202000,0.1911,0.0000
54.51,0.3676,38600,0,105000,0.3676,0.0000,0.1911,38600,1,202000,0.1911,0.0000
55.01,0.3665,38485,0,105000,0.3665,0.0000,0.1911,38600,1,202000,0.1911,0.0000
55.51,0.3665,38485,0,105000,0.3665,0.0000,0.1911,38600,1,202000,0.1911,0.0000
56.01,0.3665,38485,0,105000,0.3665,0.0000,0.1911,38600,1,202000,0.1911,0.0000
56.51,0.3660,38431,0,105000,0.3660,0.0000,0.1907,38513,1,202000,0.1907,0.0000
57.01,0.3660,38431,0,105000,0.3660,0.0000,0.1907,38513,1,202000,0.1907,0.0000
57.51,0.3660,38425,0,105000,0.3660,0.0000,0.1907,38513,1,202000,0.1907,0.0000
58.01,0.3660,38425,0,105000,0.3660,0.0000,0.1903,38440,1,202000,0.1903,0.0000
58.51,0.3053,32056,0,105000,0.3053,0.0000,0.1903,38440,1,202000,0.1903,0.0000
59.01,0.3047,31991,0,105000,0.3047,0.0000,0.1903,38440,1,202000,0.1903,0.0000
59.51,0.3047,31991,0,105000,0.3047,0.0000,0.1903,38440,1,202000,0.1903,0.0000
60.01,0.3047,31991,0,105000,0.3047,0.0000,0.1903,38440,1,202000,0.1903,0.0000
60.51,0.2439,25606,0,105000,0.2439,0.0000,0.1585,32017,1,202000,0.1585,0.0000
61.01,0.3050,32022,0,105000,0.3050,0.0000,0.1585,32017,1,202000,0.1585,0.0000
61.51,0.3050,32022,0,105000,0.3050,0.0000,0.1585,32017,1,202000,0.1585,0.0000
62.01,0.3050,32022,0,105000,0.3050,0.0000,0.1585,32018,1,202000,0.1585,0.0000
62.51,0.1829,19209,0,105000,0.1829,0.0000,0.1585,32018,1,202000,0.1585,0.0000
63.01,0.1829,19209,0,105000,0.1829,0.0000,0.1585,32018,1,202000,0.1585,0.0000
63.51,0.1831,19224,0,105000,0.1831,0.0000,0.1271,25669,1,202000,0.1271,0.0000
64.01,0.1223,12843,0,105000,0.1223,0.0000,0.1271,25669,1,202000,0.1271,0.0000
64.51,0.1223,12843,0,105000,0.1223,0.0000,0.1271,25669,1,202000,0.1271,0.0000
65.01,0.1228,12896,0,105000,0.1228,0.0000,0.0956,19316,1,202000,0.0956,0.0000
65.51,0.1228,12896,0,105000,0.1228,0.0000,0.0956,19316,1,202000,0.0956,0.0000
66.01,0.1226,12868,0,105000,0.1226,0.0000,0.0956,19316,1,202000,0.0956,0.0000
66.51,0.1840,19322,0,105000,0.1840,0.0000,0.0956,19316,1,202000,0.0956,0.0000
67.01,0.1837,19288,0,105000,0.1837,0.0000,0.0956,19316,1,202000,0.0956,0.0000
67.51,0.1841,19330,0,105000,0.1841,0.0000,0.1275,25747,1,202000,0.1275,0.0000
68.01,0.2454,25769,0,105000,0.2454,0.0000,0.1275,25747,1,202000,0.1275,0.0000
68.51,0.2453,25756,0,105000,0.2453,0.0000,0.1275,25747,1,202000,0.1275,0.0000
69.01,0.2453,25756,0,105000,0.2453,0.0000,0.1596,32245,1,202000,0.1596,0.0000
69.51,0.2453,25756,0,105000,0.2453,0.0000,0.1596,32245,1,202000,0.1596,0.0000
70.01,0.1843,19354,0,105000,0.1843,0.0000,0.1596,32245,1,202000,0.1596,0.0000
70.51,0.2462,25847,0,105000,0.2462,0.0000,0.1596,32245,1,202000,0.1596,0.0000
71.01,0.2462,25847,0,105000,0.2462,0.0000,0.1596,32245,1,202000,0.1596,0.0000
71.51,0.1849,19413,0,105000,0.1849,0.0000,0.1601,32350,1,202000,0.1601,0.0000
72.01,0.2467,25902,0,105000,0.2467,0.0000,0.1601,32350,1,202000,0.1601,0.0000
72.51,0.2467,25902,0,105000,0.2467,0.0000,0.1601,32350,1,202000,0.1601,0.0000
73.01,0.2466,25888,0,105000,0.2466,0.0000,0.1601,32350,1,202000,0.1601,0.0000
73.51,0.2465,25882,0,105000,0.2465,0.0000,0.1603,32390,1,202000,0.1603,0.0000
74.01,0.3072,32260,0,105000,0.3072,0.0000,0.1603,32390,1,202000,0.1603,0.0000
74.51,0.3075,32288,0,105000,0.3075,0.0000,0.1603,32390,1,202000,0.1603,0.0000
75.01,0.3074,32275,0,105000,0.3074,0.0000,0.1603,32390,1,202000,0.1603,0.0000
75.51,0.3684,38677,0,105000,0.3684,0.0000,0.1603,32390,1,202000,0.1603,0.0000
76.01,0.3684,38677,0,105000,0.3684,0.0000,0.2237,45193,1,202000,0.2237,0.0000
76.51,0.3684,38677,0,105000,0.3684,0.0000,0.2237,45193,1,202000,0.2237,0.0000
77.01,0.3070,32239,0,105000,0.3070,0.0000,0.2237,45193,1,202000,0.2237,0.0000
77.51,0.3679,38628,0,105000,0.3679,0.0000,0.2237,45193,1,202000,0.2237,0.0000
78.01,0.3679,38628,0,105000,0.3679,0.0000,0.2234,45124,1,202000,0.2234,0.0000
78.51,0.3679,38628,0,105000,0.3679,0.0000,0.2234,45124,1,202000,0.2234,0.0000
79.01,0.3072,32257,0,105000,0.3072,0.0000,0.2234,45124,1,202000,0.2234,0.0000
79.51,0.3681,38649,0,105000,0.3681,0.0000,0.2234,45124,1,202000,0.2234,0.0000
80.01,0.3683,38668,0,105000,0.3683,0.0000,0.2234,45124,1,202000,0.2234,0.0000
80.51,0.3683,38668,0,105000,0.3683,0.0000,0.2231,45058,1,202000,0.2231,0.0000
81.01,0.3681,38649,0,105000,0.3681,0.0000,0.2231,45058,1,202000,0.2231,0.0000
81.51,0.3672,38552,0,105000,0.3672,0.0000,0.2231,45058,1,202000,0.2231,0.0000
82.01,0.3672,38552,0,105000,0.3672,0.0000,0.2231,45058,1,202000,0.2231,0.0000
82.51,0.3672,38552,0,105000,0.3672,0.0000,0.2226,44967,1,202000,0.2226,0.0000
83.01,0.3672,38552,0,105000,0.3672,0.0000,0.2226,44967,1,202000,0.2226,0.0000
83.51,0.3055,32082,0,105000,0.3055,0.0000,0.2226,44967,1,202000,0.2226,0.0000
84.01,0.3664,38468,0,105000,0.3664,0.0000,0.2226,44967,1,202000,0.2226,0.0000
84.51,0.3664,38468,0,105000,0.3664,0.0000,0.2226,44967,1,202000,0.2226,0.0000
85.01,0.3049,32017,0,105000,0.3049,0.0000,0.1907,38519,1,202000,0.1907,0.0000
85.51,0.3657,38400,0,105000,0.3657,0.0000,0.1907,38519,1,202000,0.1907,0.0000
86.01,0.3657,38400,0,105000,0.3657,0.0000,0.1907,38519,1,202000,0.1907,0.0000
86.51,0.3657,38400,0,105000,0.3657,0.0000,0.1904,38455,1,202000,0.1904,0.0000
87.01,0.3657,38400,0,105000,0.3657,0.0000,0.1904,38455,1,202000,0.1904,0.0000
87.51,0.2441,25628,0,105000,0.2441,0.0000,0.1904,38455,1,202000,0.1904,0.0000
88.01,0.2441,25628,0,105000,0.2441,0.0000,0.1904,38455,1,202000,0.1904,0.0000
88.51,0.2441,25628,0,105000,0.2441,0.0000,0.1904,38455,1,202000,0.1904,0.0000
89.01,0.1832,19232,0,105000,0.1832,0.0000,0.1271,25675,1,202000,0.1271,0.0000
89.51,0.2443,25649,0,105000,0.2443,0.0000,0.1271,25675,1,202000,0.1271,0.0000
90.01,0.2443,25649,0,105000,0.2443,0.0000,0.1271,25675,1,202000,0.1271,0.0000
90.51,0.2449,25714,0,105000,0.2449,0.0000,0.1592,32163,1,202000,0.1592,0.0000
91.01,0.2450,25725,0,105000,0.2450,0.0000,0.1592,32163,1,202000,0.1592,0.0000
91.51,0.2450,25725,0,105000,0.2450,0.0000,0.1592,32163,1,202000,0.1592,0.0000
92.01,0.1838,19302,0,105000,0.1838,0.0000,0.1592,32163,1,202000,0.1592,0.0000
92.51,0.1838,19302,0,105000,0.1838,0.0000,0.1276,25781,1,202000,0.1276,0.0000
93.01,0.1841,19326,0,105000,0.1841,0.0000,0.1276,25781,1,202000,0.1276,0.0000
93.51,0.1841,19326,0,105000,0.1841,0.0000,0.1276,25781,1,202000,0.1276,0.0000
94.01,0.1839,19309,0,105000,0.1839,0.0000,0.1276,25781,1,202000,0.1276,0.0000
94.51,0.1843,19348,0,105000,0.1843,0.0000,0.1276,25783,1,202000,0.1276,0.0000
95.01,0.1842,19338,0,105000,0.1842,0.0000,0.1276,25783,1,202000,0.1276,0.0000
95.51,0.2456,25791,0,105000,0.2456,0.0000,0.1276,25783,1,202000,0.1276,0.0000
96.01,0.2456,25791,0,105000,0.2456,0.0000,0.1276,25783,1,202000,0.1276,0.0000
96.51,0.2463,25857,0,105000,0.2463,0.0000,0.1601,32334,1,202000,0.1601,0.0000
97.01,0.2463,25857,0,105000,0.2463,0.0000,0.1601,32334,1,202000,0.1601,0.0000
97.51,0.2464,25868,0,105000,0.2464,0.0000,0.1601,32334,1,202000,0.1601,0.0000
98.01,0.2463,25862,0,105000,0.2463,0.0000,0.1601,32334,1,202000,0.1601,0.0000
98.52,0.2463,25862,0,105000,0.2463,0.0000,0.1603,32384,1,202000,0.1603,0.0000
99.02,0.1851,19433,0,105000,0.1851,0.0000,0.1603,32384,1,202000,0.1603,0.0000
99.52,0.2465,25886,0,105000,0.2465,0.0000,0.1603,32384,1,202000,0.1603,0.0000
100.02,0.2459,25815,0,105000,0.2459,0.0000,0.1603,32384,1,202000,0.1603,0.0000
100.52,0.2459,25815,0,105000,0.2459,0.0000,0.1603,32384,1,202000,0.1603,0.0000
101.02,0.2462,25853,0,105000,0.2462,0.0000,0.1600,32316,1,202000,0.1600,0.0000
101.52,0.2461,25843,0,105000,0.2461,0.0000,0.1600,32316,1,202000,0.1600,0.0000
102.02,0.3079,32331,0,105000,0.3079,0.0000,0.1600,32316,1,202000,0.1600,0.0000
102.52,0.3079,32331,0,105000,0.3079,0.0000,0.1918,38743,1,202000,0.1918,0.0000
103.02,0.3074,32275,0,105000,0.3074,0.0000,0.1918,38743,1,202000,0.1918,0.0000
103.52,0.3074,32275,0,105000,0.3074,0.0000,0.1918,38743,1,202000,0.1918,0.0000
104.02,0.3084,32381,0,105000,0.3084,0.0000,0.1918,38743,1,202000,0.1918,0.0000
104.52,0.3084,32378,0,105000,0.3084,0.0000,0.1918,38743,1,202000,0.1918,0.0000
105.02,0.3071,32249,0,105000,0.3071,0.0000,0.1918,38753,1,202000,0.1918,0.0000
