elapsed_s,prefill30000_max_total_num_tokens,prefill30000_num_used_tokens,prefill30000_evictable_tokens,prefill30000_token_usage,prefill30000_cache_occupancy,prefill30000_cache_hit_rate,prefill30000_occupancy_frac,prefill30001_max_total_num_tokens,prefill30001_num_used_tokens,prefill30001_evictable_tokens,prefill30001_token_usage,prefill30001_cache_occupancy,prefill30001_cache_hit_rate,prefill30001_occupancy_frac,decode30002_max_total_num_tokens,decode30002_num_used_tokens,decode30002_evictable_tokens,decode30002_token_usage,decode30002_cache_occupancy,decode30002_cache_hit_rate,decode30002_occupancy_frac,decode30003_max_total_num_tokens,decode30003_num_used_tokens,decode30003_evictable_tokens,decode30003_token_usage,decode30003_cache_occupancy,decode30003_cache_hit_rate,decode30003_occupancy_frac,prefill_used_tokens,prefill_max_tokens,prefill_occupancy_frac,decode_used_tokens,decode_max_tokens,decode_occupancy_frac
0.0,112000.0,0.0,5.0,0.0,4.464285714285714e-05,0.0,0.0,112000.0,0.0,4.0,0.0,3.571428571428572e-05,0.0,0.0,,,,,,,,,,,,,,,9,224000,0.0,0,0,
2.0,112000.0,12318.0,11.0,0.10998214285714286,0.11008035714285715,0.0,0.1101,112000.0,12288.0,5.0,0.10971428571428571,0.10975892857142858,0.18406374501992032,0.1098,,,,,,,,,,,,,,,24622,224000,0.1099,0,0,
4.0,112000.0,12318.0,11.0,0.10998214285714286,0.11008035714285715,0.0,0.1101,112000.0,12797.0,11784.0,0.11425892857142857,0.21947321428571429,0.18406374501992032,0.2195,133263.0,25748.0,0.0,0.19321191928742412,0.19321191928742412,0.0,0.1932,,,,,,,,36910,224000,0.1648,25748,133263,0.1932
6.0,112000.0,12318.0,11.0,0.10998214285714286,0.11008035714285715,0.0,0.1101,112000.0,13129.0,23740.0,0.11722321428571429,0.3291875,0.0,0.3292,133263.0,25788.0,0.0,0.19351207762094505,0.19351207762094505,0.0,0.1935,133263.0,25958.0,0.0,0.19478775053840902,0.19478775053840902,0.0,0.1948,49198,224000,0.2196,51746,266526,0.1941
8.0,112000.0,12318.0,11.0,0.10998214285714286,0.11008035714285715,0.0,0.1101,112000.0,13129.0,23740.0,0.11722321428571429,0.3291875,0.0,0.3292,133263.0,25924.0,0.0,0.19453261595491622,0.19453261595491622,0.0,0.1945,133263.0,26049.0,0.0,0.19547061074716912,0.19547061074716912,0.0,0.1955,49198,224000,0.2196,51973,266526,0.195
10.0,112000.0,12318.0,11.0,0.10998214285714286,0.11008035714285715,0.0,0.1101,112000.0,13129.0,23740.0,0.11722321428571429,0.3291875,0.0,0.3292,133263.0,13016.0,0.0,0.09767152172771137,0.09767152172771137,0.0,0.0977,133263.0,26209.0,0.0,0.19667124408125286,0.19667124408125286,0.0,0.1967,49198,224000,0.2196,39225,266526,0.1472
12.0,112000.0,12318.0,11.0,0.10998214285714286,0.11008035714285715,0.0,0.1101,112000.0,13129.0,23740.0,0.11722321428571429,0.3291875,0.0,0.3292,133263.0,13096.0,0.0,0.09827183839475323,0.09827183839475323,0.0,0.0983,133263.0,26289.0,0.0,0.19727156074829472,0.19727156074829472,0.0,0.1973,49198,224000,0.2196,39385,266526,0.1478
14.0,112000.0,12318.0,11.0,0.10998214285714286,0.11008035714285715,0.0,0.1101,112000.0,16932.0,35998.0,0.15117857142857144,0.4725892857142857,0.0,0.4726,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,32843.0,0.0,0.2464525036956995,0.2464525036956995,0.0,0.2465,65259,224000,0.2913,45979,266526,0.1725
16.0,112000.0,12318.0,11.0,0.10998214285714286,0.11008035714285715,0.0,0.1101,112000.0,16799.0,42743.0,0.14999107142857143,0.531625,0.0,0.5316,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,19480.0,0.0,0.14617710842469403,0.14617710842469403,0.0,0.1462,71871,224000,0.3209,32616,266526,0.1224
18.0,112000.0,13212.0,11923.0,0.11796428571428572,0.22441964285714286,0.0,0.2244,112000.0,29258.0,30787.0,0.26123214285714286,0.5361160714285714,0.909797273433637,0.5361,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,67195.0,0.0,0.5042284805234761,0.5042284805234761,0.0,0.5042,85180,224000,0.3803,80331,266526,0.3014
20.0,112000.0,13212.0,11923.0,0.11796428571428572,0.22441964285714286,0.0,0.2244,112000.0,29258.0,30787.0,0.26123214285714286,0.5361160714285714,0.909797273433637,0.5361,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,49993.0,0.0,0.3751453891927992,0.3751453891927992,0.0,0.3751,85180,224000,0.3803,63129,266526,0.2369
22.0,112000.0,13212.0,11923.0,0.11796428571428572,0.22441964285714286,0.0,0.2244,112000.0,29258.0,30787.0,0.26123214285714286,0.5361160714285714,0.909797273433637,0.5361,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,50108.0,0.0,0.37600834440167186,0.37600834440167186,0.0,0.376,85180,224000,0.3803,63244,266526,0.2373
24.0,112000.0,25494.0,27175.0,0.227625,0.4702589285714286,0.0,0.4703,112000.0,29258.0,30787.0,0.26123214285714286,0.5361160714285714,0.909797273433637,0.5361,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,58668.0,0.0,0.4402422277751514,0.4402422277751514,0.0,0.4402,112714,224000,0.5032,71804,266526,0.2694
26.0,112000.0,25494.0,27175.0,0.227625,0.4702589285714286,0.0,0.4703,112000.0,29258.0,30787.0,0.26123214285714286,0.5361160714285714,0.909797273433637,0.5361,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,58748.0,0.0,0.44084254444219323,0.44084254444219323,0.0,0.4408,112714,224000,0.5032,71884,266526,0.2697
28.0,112000.0,25124.0,42419.0,0.22432142857142856,0.6030625,0.0,0.6031,112000.0,29258.0,30787.0,0.26123214285714286,0.5361160714285714,0.909797273433637,0.5361,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,88949.0,0.0,0.6674695902088351,0.6674695902088351,0.0,0.6675,127588,224000,0.5696,102085,266526,0.383
30.0,112000.0,29220.0,42419.0,0.26089285714285715,0.6396339285714285,0.0,0.6396,112000.0,29258.0,30787.0,0.26123214285714286,0.5361160714285714,0.909797273433637,0.5361,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,72593.0,0.0,0.544734847632126,0.544734847632126,0.0,0.5447,131684,224000,0.5879,85729,266526,0.3217
32.0,112000.0,29220.0,42419.0,0.26089285714285715,0.6396339285714285,0.0,0.6396,112000.0,17280.0,48138.0,0.15428571428571428,0.5840892857142858,0.0,0.5841,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,72790.0,0.0,0.5462131274247165,0.5462131274247165,0.0,0.5462,137057,224000,0.6119,85926,266526,0.3224
34.0,112000.0,29220.0,42419.0,0.26089285714285715,0.6396339285714285,0.0,0.6396,112000.0,17280.0,48138.0,0.15428571428571428,0.5840892857142858,0.0,0.5841,133263.0,13136.0,0.0,0.09857199672827416,0.09857199672827416,0.0,0.0986,133263.0,58358.0,0.0,0.4379160006903642,0.4379160006903642,0.0,0.4379,137057,224000,0.6119,71494,266526,0.2682
36.0,112000.0,29220.0,42419.0,0.26089285714285715,0.6396339285714285,0.0,0.6396,112000.0,17280.0,48138.0,0.15428571428571428,0.5840892857142858,0.0,0.5841,133263.0,20260.0,0.0,0.1520301959283522,0.1520301959283522,0.0,0.152,133263.0,30127.0,0.0,0.2260717528496282,0.2260717528496282,0.0,0.2261,137057,224000,0.6119,50387,266526,0.1891
38.0,112000.0,28080.0,44309.0,0.2507142857142857,0.6463303571428571,0.8910608320375718,0.6463,112000.0,18253.0,54168.0,0.1629732142857143,0.6466160714285715,0.0,0.6466,133263.0,20340.0,0.0,0.15263051259539406,0.15263051259539406,0.0,0.1526,133263.0,48543.0,0.0,0.3642646496026654,0.3642646496026654,0.0,0.3643,144810,224000,0.6465,68883,266526,0.2584
40.0,112000.0,28080.0,44309.0,0.2507142857142857,0.6463303571428571,0.8910608320375718,0.6463,112000.0,18253.0,54168.0,0.1629732142857143,0.6466160714285715,0.0,0.6466,133263.0,20420.0,0.0,0.15323082926243595,0.15323082926243595,0.0,0.1532,133263.0,49920.0,0.0,0.3745976002341235,0.3745976002341235,0.0,0.3746,144810,224000,0.6465,70340,266526,0.2639
42.0,112000.0,34066.0,45852.0,0.3041607142857143,0.7135535714285715,0.0,0.7136,112000.0,18253.0,54168.0,0.1629732142857143,0.6466160714285715,0.0,0.6466,133263.0,20460.0,0.0,0.15353098759595687,0.15353098759595687,0.0,0.1535,133263.0,50000.0,0.0,0.3751979169011654,0.3751979169011654,0.0,0.3752,152339,224000,0.6801,70460,266526,0.2644
44.0,112000.0,34066.0,45852.0,0.3041607142857143,0.7135535714285715,0.0,0.7136,112000.0,18253.0,54168.0,0.1629732142857143,0.6466160714285715,0.0,0.6466,133263.0,20460.0,0.0,0.15353098759595687,0.15353098759595687,0.0,0.1535,133263.0,50146.0,0.0,0.37629349481851676,0.37629349481851676,0.0,0.3763,152339,224000,0.6801,70606,266526,0.2649
46.0,112000.0,54590.0,30600.0,0.4874107142857143,0.760625,0.0,0.7606,112000.0,18253.0,54168.0,0.1629732142857143,0.6466160714285715,0.0,0.6466,133263.0,56931.0,0.0,0.4272078521420049,0.4272078521420049,0.0,0.4272,133263.0,50226.0,0.0,0.3768938114855586,0.3768938114855586,0.0,0.3769,157611,224000,0.7036,107157,266526,0.4021
48.0,112000.0,54590.0,30600.0,0.4874107142857143,0.760625,0.0,0.7606,112000.0,18253.0,54168.0,0.1629732142857143,0.6466160714285715,0.0,0.6466,133263.0,56971.0,0.0,0.42750801047552583,0.42750801047552583,0.0,0.4275,133263.0,50386.0,0.0,0.3780944448196424,0.3780944448196424,0.0,0.3781,157611,224000,0.7036,107357,266526,0.4028
50.0,112000.0,54590.0,30600.0,0.4874107142857143,0.760625,0.0,0.7606,112000.0,18253.0,54168.0,0.1629732142857143,0.6466160714285715,0.0,0.6466,133263.0,57119.0,0.0,0.4286185963095533,0.4286185963095533,0.0,0.4286,133263.0,50466.0,0.0,0.37869476148668424,0.37869476148668424,0.0,0.3787,157611,224000,0.7036,107585,266526,0.4037
