t_s,P0_use,P0_used_tok,P0_running,P1_use,P1_used_tok,P1_running,D0_use,D0_used_tok,D0_running,D1_use,D1_used_tok,D1_running
# roles: P0:P P1:P D0:D D1:D
0.00,0.0000,0,0,0.0000,0,0,,,,,,
1.00,0.0683,4096,0,0.0000,0,0,,,,,,
2.00,0.2716,16297,0,0.0000,0,0,,,,,,
3.00,0.1428,8570,0,0.0000,0,0,0.1354,28306,0,,,
4.00,0.1391,8349,0,0.0000,0,0,0.1354,28306,0,0.1847,38611,0
5.00,0.1900,11400,0,0.0000,0,0,0.1033,21603,0,0.1847,38611,0
6.00,0.1631,9785,0,0.0000,0,0,0.1033,21603,0,0.1440,30096,0
7.00,0.1421,8526,0,0.0000,0,0,0.5615,117379,0,0.6441,134646,0
8.00,0.2086,12513,0,0.0000,0,0,0.5615,117379,0,0.6441,134646,0
9.00,0.3451,20705,0,0.0000,0,0,0.5615,117379,0,0.6441,134646,0
10.00,0.2519,15114,0,0.0000,0,0,0.8148,170319,0,0.8170,170785,0
11.00,0.2049,12295,0,0.0000,0,0,0.8148,170319,0,0.8108,169485,0
12.00,0.1739,10433,0,0.0000,0,0,0.8113,169592,0,0.8108,169485,0
13.00,0.1633,9797,0,0.0000,0,0,0.8115,169632,0,0.8108,169485,0
14.00,0.1527,9161,0,0.0000,0,0,0.8117,169672,0,0.8108,169485,0
15.00,0.1474,8843,0,0.0000,0,0,0.8117,169672,0,0.8108,169485,0
16.00,0.1736,10414,0,0.0000,0,0,0.8117,169672,0,0.7948,166151,0
17.00,0.1630,9777,0,0.0000,0,0,0.8117,169672,0,0.7948,166151,0
18.00,0.1524,9141,0,0.0000,0,0,0.8117,169672,0,0.7948,166151,0
19.00,0.1470,8818,0,0.0000,0,0,0.8117,169672,0,0.7948,166151,0
20.00,0.1731,10388,0,0.0000,0,0,0.8056,168404,0,0.7948,166151,0
21.00,0.2046,12277,0,0.0000,0,0,0.8056,168404,0,0.7948,166151,0
22.00,0.2308,13847,0,0.0000,0,0,0.8056,168404,0,0.7948,166152,0
