t_s,P0_use,P0_used_tok,P0_running,P1_use,P1_used_tok,P1_running,D0_use,D0_used_tok,D0_running,D1_use,D1_used_tok,D1_running
# roles: P0:P P1:P D0:D D1:D
0.00,0.0000,0,0,0.0000,0,0,,,,,,
1.00,0.1115,6689,0,0.0000,0,0,,,,,,
2.00,0.1239,7436,0,0.0000,0,0,,,,,,
3.00,0.2062,12375,0,0.0000,0,0,,,,0.1439,30074,0
4.00,0.1669,10014,0,0.0000,0,0,0.1860,38876,0,0.1279,26741,0
5.00,0.1645,9867,0,0.0000,0,0,0.1860,38876,0,0.1279,26741,0
6.00,0.1440,8638,0,0.0000,0,0,0.2274,47542,0,0.1279,26741,0
7.00,0.1896,11377,0,0.0000,0,0,0.3578,74787,0,0.1279,26741,0
8.00,0.1835,11010,0,0.0000,0,0,0.3578,74787,0,0.1279,26741,0
9.00,0.2343,14059,0,0.0000,0,0,0.8099,169289,0,0.1279,26741,0
10.00,0.3026,18155,0,0.0000,0,0,0.8099,169289,0,0.8110,169525,0
11.00,0.1804,10825,0,0.0000,0,0,0.8056,168400,0,0.8106,169441,0
12.00,0.1494,8963,0,0.0000,0,0,0.8056,168400,0,0.8113,169589,0
13.00,0.1756,10534,0,0.0000,0,0,0.8056,168400,0,0.8115,169629,0
14.00,0.1650,9897,0,0.0000,0,0,0.8056,168400,0,0.8117,169669,0
15.00,0.1596,9579,0,0.0000,0,0,0.8056,168400,0,0.8117,169669,0
16.00,0.1490,8943,0,0.0000,0,0,0.8056,168400,0,0.8117,169669,0
17.00,0.1384,8306,0,0.0000,0,0,0.8056,168400,0,0.8117,169669,0
18.00,0.1646,9877,0,0.0000,0,0,0.8056,168400,0,0.8056,168401,0
19.00,0.1908,11447,0,0.0000,0,0,0.8056,168400,0,0.8056,168401,0
20.00,0.1802,10810,0,0.0000,0,0,0.8056,168396,0,0.8056,168401,0
21.00,0.1381,8285,0,0.0000,0,0,0.8056,168396,0,0.8056,168401,0
22.00,0.1643,9857,0,0.0000,0,0,0.8056,168396,0,0.8056,168401,0
