elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,n_pids
57.4,0.0,129478.9,118750.3,76998.4,75844.1,0.0,38588.2,1174.3,78475.9,42514.0,80383.6,125301.8,44645.8,128652.3,148
59.1,0.0,129450.1,118753.2,76993.8,75847.0,0.0,37622.3,1174.3,79209.7,41488.0,81121.6,124913.4,44008.2,128652.3,148
60.8,0.0,129435.1,118758.4,76994.3,75852.2,0.0,37314.4,1174.3,79339.3,41136.9,81382.8,124788.1,43782.3,128652.3,148
62.4,0.0,129420.3,118764.4,76995.2,75858.2,0.0,36403.3,1174.3,79974.0,40159.1,82090.0,124438.0,43154.7,128652.3,148
64.0,0.0,129420.1,118765.6,76996.1,75859.4,0.0,36033.6,1198.4,79155.9,39761.3,81323.5,123248.4,43946.4,128652.3,148
65.6,0.0,129415.4,118773.9,77003.1,75867.7,0.0,35958.8,1198.4,79232.4,39697.1,81490.9,123345.1,43785.6,128652.3,148
67.3,0.0,129416.0,118777.8,77006.8,75871.6,0.0,35584.5,1198.4,79194.2,39254.7,81305.6,122714.3,43973.9,128652.3,148
68.9,0.0,129387.5,118778.2,77005.3,75872.0,0.0,35429.0,1198.4,79313.3,39082.6,81353.2,122587.5,43928.8,128652.3,148
70.5,0.0,129388.9,118779.8,77006.9,75873.6,0.0,35349.4,1198.4,79378.2,38982.5,81512.2,122635.7,43780.4,128652.3,148
72.1,0.0,129389.4,118782.0,77009.0,75875.8,0.0,35299.5,1198.4,79433.0,38920.8,81511.9,122567.1,43787.4,128652.3,148
73.8,0.0,129388.1,118783.9,77010.2,75877.7,0.0,35275.8,1198.4,79456.9,38893.0,81554.7,122578.9,43747.7,128652.3,148
75.4,0.0,129388.5,118787.9,77013.7,75881.7,0.0,35131.3,1224.4,79606.2,38708.1,81787.4,122610.8,43530.9,128652.3,148
77.1,0.0,129392.0,118796.8,77021.8,75890.6,0.0,35031.6,1224.4,79696.9,38571.1,82070.7,122747.4,43257.2,128652.3,148
78.7,0.0,129394.6,118800.1,77025.1,75893.9,0.0,34917.6,1224.4,79792.6,38427.2,81925.6,122447.5,43413.3,128652.3,148
80.2,0.0,129397.2,118802.9,77027.8,75896.7,0.0,34857.9,1224.4,79854.8,38365.0,82162.2,122621.9,43176.8,128652.3,148
81.8,0.0,129399.4,118805.2,77030.1,75899.0,0.0,34840.7,1224.4,79874.1,38337.0,82198.2,122629.9,43140.7,128652.3,148
83.3,0.0,129402.1,118808.0,77032.9,75901.8,0.0,34702.9,1224.4,80016.1,38166.0,82139.0,122399.1,43200.5,128652.3,148
84.9,0.0,129398.7,118808.2,77032.9,75902.0,0.0,34671.0,1224.4,80045.3,38121.5,82377.9,122593.6,42961.6,128652.3,148
86.5,0.0,129401.7,118812.1,77036.7,75905.9,0.0,34504.0,1249.4,80190.5,37921.0,82453.1,122468.3,42886.4,128652.3,148
88.1,0.0,129403.3,118817.0,77041.4,75910.8,0.0,34381.3,1249.4,80298.3,37775.9,82442.2,122312.2,42897.3,128652.3,148
89.7,0.0,129405.7,118820.5,77044.7,75914.3,0.0,33843.7,1249.4,79890.5,37163.0,82053.9,121310.9,43285.6,128652.3,148
91.5,0.0,129409.1,118823.9,77048.1,75917.7,0.0,33525.2,1249.4,79752.0,36788.4,82000.4,120882.9,43339.1,128652.3,148
93.1,0.0,129421.0,118835.9,77060.0,75929.7,0.0,33188.7,1249.4,79791.8,36379.3,81965.4,120438.5,43374.4,128652.3,148
94.6,0.0,129425.3,118840.1,77064.2,75933.9,0.0,32840.4,1249.4,80153.6,35943.7,82223.3,120259.8,43117.5,128652.3,148
96.3,0.0,129426.6,118841.4,77065.5,75935.3,0.0,32699.8,1249.4,80286.0,35770.6,82441.5,120304.6,42899.5,128652.3,148
97.9,0.0,129428.2,118843.0,77067.1,75936.8,0.0,32566.0,1272.5,80433.6,35609.7,82545.3,120246.8,42796.5,128652.3,148
99.5,0.0,129431.1,118846.0,77070.1,75939.8,0.0,32385.3,1272.5,80614.8,35391.1,82962.3,120444.5,42380.2,128652.3,148
101.1,0.0,129434.8,118849.6,77073.7,75943.4,0.0,32265.8,1272.5,80748.6,35250.8,82978.8,120320.5,42365.4,128652.3,148
102.7,0.0,129437.1,118851.9,77076.0,75945.7,0.0,31947.5,1272.5,81101.9,34861.9,83306.5,120258.8,42036.7,128652.3,148
104.3,0.0,129447.7,118862.5,77086.6,75956.3,0.0,31717.6,1272.5,81374.0,34564.3,83681.8,120336.0,41661.9,128652.3,148
106.0,0.0,129452.1,118866.9,77091.0,75960.7,0.0,31484.5,1272.5,81643.7,34261.8,83719.5,120070.2,41625.2,128652.3,148
107.6,0.0,129455.6,118870.4,77094.5,75964.2,0.0,31209.2,1272.5,81999.6,33917.5,84087.4,120093.0,41258.1,128652.3,148
109.2,0.0,129457.2,118872.3,77096.1,75966.1,0.0,30981.7,1292.5,81904.0,33621.4,84026.7,119735.1,41319.8,128652.3,148
110.8,0.0,129457.0,118875.0,77095.9,75968.8,0.0,30860.9,1292.5,82030.9,33470.7,84402.2,119960.0,40944.3,128652.3,148
112.7,0.0,129463.0,118881.0,77101.8,75974.8,0.0,30177.4,1292.5,80681.5,32602.8,82847.9,117537.3,42499.1,128652.3,148
114.3,0.0,129465.8,118883.8,77104.6,75977.6,0.0,30104.4,1292.5,80788.2,32503.0,83090.0,117677.3,42258.6,128652.3,148
116.0,0.0,129467.8,118885.9,77106.6,75979.7,0.0,30035.1,1292.5,80949.3,32396.4,83249.9,117729.5,42100.5,128652.3,148
117.5,0.0,129470.1,118888.2,77108.9,75982.0,0.0,29953.9,1292.5,81395.8,32265.6,83864.7,118212.7,41486.6,128652.3,148
119.1,0.0,129472.8,118890.8,77111.5,75984.6,0.0,29825.9,1292.5,81340.9,32120.7,83520.0,117721.8,41832.5,128652.3,148
120.7,0.0,129475.3,118893.4,77114.1,75987.2,0.0,29693.9,1313.5,81200.7,31954.1,83411.5,117445.8,41941.9,128652.3,148
122.4,0.0,129479.0,118897.0,77117.8,75990.8,0.0,29438.3,1313.5,81575.9,31649.6,83755.2,117484.2,41599.0,128652.3,148
124.0,0.0,129482.5,118900.6,77121.3,75994.4,0.0,29339.6,1313.5,81758.9,31526.8,84001.1,117605.2,41355.3,128652.3,148
125.7,0.0,129487.7,118905.8,77126.5,75999.6,0.0,29038.6,1313.5,82312.4,31164.2,84418.9,117659.9,40937.9,128652.3,148
127.3,0.0,129496.3,118914.4,77135.1,76008.2,0.0,28883.3,1313.5,82613.3,30973.5,84746.0,117796.2,40610.9,128652.3,148
128.9,0.0,129500.4,118918.4,77139.1,76012.2,0.0,28750.1,1313.5,82892.3,30814.6,85121.2,118012.2,40235.5,128652.3,148
130.5,0.0,129504.0,118922.0,77142.7,76015.8,0.0,28627.2,1313.5,83136.0,30664.5,85380.8,118120.7,39977.4,128652.3,148
132.2,0.0,129509.4,118927.4,77148.1,76021.2,0.0,28443.6,1328.6,83529.9,30421.6,85687.2,118183.8,39671.4,128652.3,148
133.8,0.0,129517.6,118935.7,77156.4,76029.5,0.0,28348.3,1328.6,83765.8,30307.4,85977.5,118359.1,39381.9,128652.3,148
135.9,0.0,129525.8,118944.4,77164.6,76038.2,0.0,27786.5,1328.6,81658.5,29691.1,83738.2,115501.2,41622.6,128652.3,148
137.6,0.0,129543.0,118961.7,77182.0,76055.5,0.0,27697.1,1328.6,81954.3,29602.5,84245.9,115913.8,41122.4,128652.3,148
139.2,0.0,129545.8,118964.7,77184.9,76058.5,0.0,27573.2,1328.6,82296.8,29474.0,84410.4,115946.9,40960.7,128652.3,148
140.8,0.0,129545.0,118966.0,77186.0,76059.8,0.0,27446.4,1328.6,82661.8,29356.2,84949.9,116368.3,40421.5,128652.3,148
142.5,0.0,129545.7,118967.3,77187.3,76061.1,0.0,27232.3,1345.6,82481.1,29130.2,84881.0,116072.5,40491.2,128652.3,148
144.1,0.0,129548.7,118971.1,77191.0,76064.9,0.0,27123.6,1345.6,82864.3,29021.8,84985.7,116068.3,40387.1,128652.3,148
145.8,0.0,129552.6,118975.2,77195.0,76069.0,0.0,27045.1,1345.6,83151.9,28946.3,85361.4,116366.6,40013.3,128652.3,148
147.5,0.0,129560.4,118983.2,77203.0,76077.0,0.0,26891.1,1345.6,83718.2,28784.9,85987.7,116829.2,39389.4,128652.3,148
149.2,0.0,129566.1,118989.5,77209.3,76083.3,0.0,26759.8,1345.6,84238.5,28649.8,86348.7,117053.4,39030.0,128652.3,148
150.8,0.0,129573.5,118997.2,77216.9,76091.0,0.0,26693.3,1345.6,84530.2,28587.2,86718.1,117360.1,38660.6,128652.3,148
152.4,0.0,129582.4,119006.3,77226.0,76100.1,0.0,26632.7,1345.6,84807.8,28520.9,87064.3,117639.5,38315.0,128652.3,148
154.1,0.0,129590.7,119014.8,77234.3,76108.6,0.0,26500.3,1362.6,85404.6,28387.0,87529.5,117968.0,37852.7,128652.3,148
155.8,0.0,129594.6,119018.6,77238.2,76112.4,0.0,26380.1,1362.6,85505.8,28266.4,87748.5,118063.5,37636.5,128652.3,148
157.4,0.0,129597.3,119021.7,77241.2,76115.5,0.0,26285.5,1362.6,85952.9,28166.3,88163.2,118377.2,37222.7,128652.3,148
159.2,0.0,129598.7,119023.7,77243.2,76117.5,0.0,26078.3,1362.6,82540.2,27958.0,84695.0,114683.6,40708.0,128652.3,148
161.2,0.0,129601.3,119026.4,77245.8,76120.2,0.0,25976.6,1362.6,83185.4,27853.3,85454.8,115331.2,39955.7,128652.3,148
163.0,0.0,129604.6,119030.0,77249.4,76123.8,0.0,25804.7,1362.6,83005.3,27679.9,85177.2,114866.3,40247.2,128652.3,148
164.8,0.0,129614.0,119039.4,77258.7,76133.2,0.0,25679.5,1379.6,83639.1,27552.7,85940.2,115492.1,39494.2,128652.3,148
166.4,0.0,129626.1,119051.5,77270.8,76145.3,0.0,25614.7,1379.6,83988.2,27489.5,86288.3,115770.2,39153.9,128652.3,148
168.1,0.0,129634.9,119060.3,77279.6,76154.1,0.0,25560.8,1379.6,84264.5,27433.7,86548.1,115970.8,38896.5,128652.3,148
169.7,0.0,129642.1,119067.5,77286.8,76161.3,0.0,25454.0,1379.6,84793.9,27324.4,87044.2,116350.0,38408.0,128652.3,148
171.3,0.0,129655.2,119080.7,77300.0,76174.5,0.0,25423.0,1379.6,84971.7,27295.6,87582.1,116856.6,37872.6,128652.3,148
173.0,0.0,129663.4,119088.9,77308.2,76182.7,0.0,25336.2,1379.6,85459.7,27204.6,87868.8,117046.2,37592.0,128652.3,148
174.6,0.0,129671.9,119097.4,77316.6,76191.2,0.0,25238.5,1379.6,85933.0,27106.6,88189.1,117260.6,37279.6,128652.3,148
176.5,0.0,129676.1,119101.6,77320.8,76195.4,0.0,25104.0,1395.7,85945.7,26972.9,88275.9,117203.1,37203.4,128652.3,148
