mode,reuse_ratio,recompute_ratio,cache_hit_rate,L3_prefetched,L2_host_used,avg_ttft_s,avg_tpot_s,overall_tput,success
radix,0.2574,0.7426,0.0,0.0,,2.401,0.0174,56.68,200/200
hicache_host,0.7434,0.2566,0.0,0.0,,1.4544,0.0234,65.48,200/200
hicache_file,0.7434,0.2566,0.0,0.0,,1.5042,0.0234,65.13,200/200
