ts,tier,src_gpu,tokens,bytes,ms,sync
1785920486.247,host,-1,1583,207486976,10.432,1
1785920488.205,host,-1,611,80084992,5.269,1
1785920489.181,host,-1,356,46661632,3.761,1
1785920489.519,host,-1,511,66977792,4.695,1
1785920491.661,host,-1,906,118751232,7.000,1
1785920493.270,host,-1,511,66977792,5.653,1
1785920493.280,host,-1,1048,137363456,7.202,1
1785920494.142,host,-1,151,19791872,2.678,1
1785920494.813,host,-1,511,66977792,5.391,1
1785920498.447,host,-1,1059,138805248,7.505,1
1785920501.453,host,-1,1565,205127680,10.147,1
1785920502.598,host,-1,1577,206700544,10.130,1
1785920502.610,host,-1,1725,226099200,11.002,1
1785920506.350,host,-1,419,54919168,5.054,1
1785920507.708,host,-1,1578,206831616,10.959,1
1785920510.489,host,-1,59,7733248,3.385,1
1785920544.686,host,-1,1092,143130624,8.834,1
1785920545.853,host,-1,209,27394048,4.293,1
1785920559.591,host,-1,511,66977792,6.205,1
1785920561.802,host,-1,380,49807360,4.596,1
1785920564.601,host,-1,710,93061120,7.170,1
1785920572.077,host,-1,524,68681728,4.596,1
1785920574.131,host,-1,903,118358016,6.412,1
1785920580.747,host,-1,1043,136708096,7.472,1
1785920581.170,host,-1,940,123207680,6.711,1
1785920583.355,host,-1,1049,137494528,7.461,1
1785920583.908,host,-1,511,66977792,4.406,1
1785920599.375,host,-1,344,45088768,3.838,1
1785920613.149,host,-1,1045,136970240,7.148,1
1785920628.587,host,-1,511,66977792,4.665,1
1785920629.879,host,-1,511,66977792,4.655,1
1785920629.884,host,-1,449,58851328,4.051,1
1785920630.755,host,-1,1208,158334976,7.977,1
1785920631.569,host,-1,511,66977792,4.551,1
1785920635.345,host,-1,462,60555264,4.454,1
1785920635.349,host,-1,190,24903680,2.756,1
1785920637.646,host,-1,511,66977792,4.624,1
1785920638.046,host,-1,1597,209321984,10.954,1
1785920641.180,host,-1,27,3538944,2.034,1
1785920642.338,host,-1,1132,148373504,8.017,1
1785920642.932,host,-1,401,52559872,3.942,1
1785920646.780,host,-1,511,66977792,4.638,1
1785920648.618,host,-1,511,66977792,4.717,1
1785920649.219,host,-1,360,47185920,3.839,1
1785920650.258,host,-1,325,42598400,3.798,1
1785920650.263,host,-1,511,66977792,4.380,1
1785920651.549,host,-1,137,17956864,2.679,1
1785920663.355,host,-1,484,63438848,4.495,1
1785920668.699,host,-1,511,66977792,4.745,1
1785920669.613,host,-1,531,69599232,5.244,1
1785920673.402,host,-1,511,66977792,4.521,1
1785920673.738,host,-1,330,43253760,3.743,1
1785920679.379,host,-1,834,109314048,6.276,1
1785920684.691,host,-1,675,88473600,5.574,1
1785920684.699,host,-1,962,126091264,6.618,1
1785920693.836,host,-1,281,36831232,3.690,1
1785920695.005,host,-1,267,34996224,3.297,1
1785920695.719,host,-1,1035,135659520,7.220,1
1785920701.690,host,-1,645,84541440,5.489,1
1785920721.797,host,-1,1021,133824512,7.070,1
