ts,tier,src_gpu,tokens,bytes,ms,sync
1785920132.924,host,-1,511,66977792,4.548,1
1785920132.929,host,-1,517,67764224,4.418,1
1785920132.943,host,-1,2072,271581184,13.071,1
1785920229.899,host,-1,453,59375616,4.249,1
1785920231.011,host,-1,428,56098816,4.016,1
1785920234.589,host,-1,511,66977792,4.451,1
1785920235.134,host,-1,511,66977792,4.562,1
1785920235.705,host,-1,531,69599232,4.650,1
1785920257.262,host,-1,374,49020928,3.838,1
1785920257.268,host,-1,525,68812800,4.424,1
1785920267.543,host,-1,332,43515904,3.629,1
1785920268.406,host,-1,1584,207618048,10.324,1
1785920270.514,host,-1,1141,149553152,7.802,1
1785920270.520,host,-1,511,66977792,4.634,1
1785920270.526,host,-1,511,66977792,4.342,1
1785920273.299,host,-1,511,66977792,4.411,1
1785920273.305,host,-1,548,71827456,4.515,1
1785920275.514,host,-1,31,4063232,2.146,1
1785920277.688,host,-1,30,3932160,2.017,1
1785920279.367,host,-1,511,66977792,4.461,1
1785920279.968,host,-1,70,9175040,2.236,1
1785920280.655,host,-1,6,786432,1.902,1
1785920282.601,host,-1,205,26869760,2.989,1
1785920284.627,host,-1,12,1572864,1.998,1
1785920284.630,host,-1,87,11403264,2.263,1
1785920286.946,host,-1,511,66977792,4.391,1
1785920288.602,host,-1,492,64487424,4.466,1
1785920291.422,host,-1,511,66977792,4.404,1
1785920294.382,host,-1,148,19398656,2.688,1
1785920294.385,host,-1,178,23330816,2.665,1
1785920301.068,host,-1,293,38404096,3.348,1
1785920301.072,host,-1,381,49938432,3.703,1
1785920302.874,host,-1,73,9568256,2.321,1
1785920302.878,host,-1,275,36044800,3.191,1
1785920304.840,host,-1,511,66977792,4.494,1
1785920309.301,host,-1,511,66977792,4.507,1
1785920311.381,host,-1,662,86769664,5.190,1
1785920311.385,host,-1,232,30408704,2.969,1
1785920311.388,host,-1,175,22937600,2.686,1
1785920311.394,host,-1,528,69206016,4.474,1
1785920312.533,host,-1,608,79691776,4.997,1
1785920320.995,host,-1,1644,215482368,11.491,1
1785920342.222,host,-1,1729,226623488,11.149,1
1785920343.133,host,-1,1433,187826176,9.119,1
1785920345.402,host,-1,1064,139460608,7.202,1
1785920345.408,host,-1,511,66977792,4.822,1
1785920349.679,host,-1,511,66977792,5.579,1
1785920349.688,host,-1,1062,139198464,8.233,1
1785920349.695,host,-1,511,66977792,5.449,1
1785920354.046,host,-1,511,66977792,4.530,1
1785920354.055,host,-1,1038,136052736,7.082,1
1785920358.888,host,-1,1038,136052736,8.466,1
1785920360.661,host,-1,511,66977792,5.611,1
1785920360.668,host,-1,511,66977792,5.474,1
1785920361.610,host,-1,213,27918336,4.373,1
1785920363.539,host,-1,511,66977792,5.967,1
1785920365.570,host,-1,1022,133955584,8.705,1
1785920370.742,host,-1,1008,132120576,6.918,1
1785920370.749,host,-1,920,120586240,6.419,1
1785920375.535,host,-1,1126,147587072,7.653,1
1785920375.541,host,-1,511,66977792,4.461,1
1785920381.820,host,-1,511,66977792,4.740,1
1785920383.897,host,-1,448,58720256,5.891,1
1785920386.792,host,-1,511,66977792,6.136,1
1785920386.799,host,-1,534,69992448,6.096,1
1785920390.799,host,-1,511,66977792,6.140,1
1785920390.806,host,-1,392,51380224,5.335,1
1785920393.413,host,-1,491,64356352,5.989,1
1785920397.490,host,-1,511,66977792,5.992,1
1785920398.071,host,-1,962,126091264,8.344,1
1785920400.372,host,-1,511,66977792,6.157,1
1785920401.468,host,-1,511,66977792,5.892,1
1785920402.239,host,-1,779,102105088,5.835,1
1785920404.026,host,-1,470,61603840,5.927,1
1785920409.744,host,-1,1289,168951808,9.932,1
1785920414.625,host,-1,655,85852160,6.647,1
1785920414.632,host,-1,533,69861376,6.030,1
1785920414.986,host,-1,511,66977792,4.488,1
1785920416.729,host,-1,536,70254592,4.712,1
1785920418.831,host,-1,511,66977792,6.156,1
1785920425.757,host,-1,1497,196214784,9.436,1
1785920427.825,host,-1,1585,207749120,11.289,1
1785920427.831,host,-1,395,51773440,5.292,1
1785920429.707,host,-1,511,66977792,5.861,1
1785920434.050,host,-1,1182,154927104,9.332,1
1785920435.891,host,-1,1047,137232384,7.353,1
1785920439.538,host,-1,511,66977792,5.873,1
