ts,tier,src_gpu,tokens,bytes,ms,sync
1785919330.200,local,0,113,14811136,0.778,1
1785919343.023,local,0,100,13107200,0.785,1
1785919353.297,peer,1,511,66977792,3.175,1
1785919353.339,peer,1,1034,135528448,7.573,1
1785919354.078,peer,3,511,66977792,7.764,1
1785919354.380,peer,2,511,66977792,28.684,1
1785919362.675,peer,1,242,31719424,2.845,1
1785919365.200,peer,1,461,60424192,3.076,1
1785919370.044,peer,3,72,9437184,11.462,1
1785919376.424,peer,3,999,130940928,8.257,1
1785919377.378,peer,1,1036,135790592,4.712,1
1785919385.016,peer,1,337,44171264,2.858,1
1785919387.954,peer,1,429,56229888,2.875,1
1785919388.226,peer,1,498,65273856,2.960,1
1785919390.517,peer,1,941,123338752,4.281,1
1785919393.960,peer,1,415,54394880,3.052,1
1785919393.964,peer,1,511,66977792,3.019,1
1785919394.700,peer,1,928,121634816,4.242,1
1785919398.136,peer,1,154,20185088,2.769,1
1785919401.721,local,0,511,66977792,0.679,1
1785919402.065,local,0,142,18612224,1.911,1
1785919404.862,peer,1,70,9175040,2.859,1
1785919408.743,local,0,1320,173015040,0.864,1
1785919409.841,local,0,217,28442624,0.710,1
1785919413.847,peer,3,950,124518400,7.478,1
1785919414.196,peer,3,180,23592960,2.927,1
1785919416.469,peer,3,35,4587520,2.880,1
1785919420.296,local,0,16,2097152,0.666,1
1785919421.026,peer,1,26,3407872,4.073,1
1785919422.700,peer,3,115,15073280,2.798,1
1785919424.184,peer,3,511,66977792,4.799,1
1785919425.811,peer,1,1591,208535552,6.366,1
1785919427.859,peer,1,171,22413312,2.860,1
1785919430.890,peer,1,1596,209190912,6.431,1
1785919431.168,peer,3,1011,132513792,7.690,1
1785919432.314,peer,1,511,66977792,3.049,1
1785919434.542,peer,1,511,66977792,3.063,1
1785919435.556,peer,1,1039,136183808,4.605,1
1785919439.512,peer,3,1133,148504576,8.380,1
1785919442.916,peer,1,439,57540608,2.880,1
1785919448.810,peer,1,511,66977792,3.013,1
