t_s,P0_use,P0_used_tok,P0_running,P1_use,P1_used_tok,P1_running,D0_use,D0_used_tok,D0_running,D1_use,D1_used_tok,D1_running
# roles: P0:P P1:P D0:D D1:D
0.00,0.0000,0,0,0.0000,0,0,,,,,,
1.00,0.0000,0,0,0.0683,4096,0,,,,,,
2.00,0.0000,0,0,0.2048,12288,0,,,,,,
3.00,0.0000,0,0,0.2526,15154,0,0.0865,18075,0,,,
4.00,0.0000,0,0,0.2675,16047,0,0.0865,18075,0,0.2535,52982,0
5.00,0.0000,0,0,0.2496,14976,0,0.0865,18075,0,0.2535,52982,0
6.00,0.0000,0,0,0.2246,13474,0,0.0865,18075,0,0.2022,42269,0
7.00,0.0000,0,0,0.2363,14179,0,0.0865,18075,0,0.2186,45689,0
8.00,0.0000,0,0,0.2410,14461,0,0.0865,18075,0,0.1789,37393,0
9.00,0.0000,0,0,0.2177,13064,0,0.0865,18075,0,0.1730,36173,0
10.00,0.0000,0,0,0.2860,17160,0,0.0865,18075,0,0.1563,32666,0
11.00,0.0000,0,0,0.7228,43365,0,0.0865,18075,0,0.1774,37089,0
12.00,0.0000,0,0,0.8125,48748,0,0.1018,21287,0,0.1429,29862,0
13.00,0.0000,0,0,0.8411,50464,0,0.1018,21287,0,0.1429,29862,0
14.00,0.0000,0,0,0.7678,46066,0,0.1018,21287,0,0.1298,27136,0
15.00,0.0000,4,0,0.7546,45274,0,0.0953,19925,0,0.1480,30942,0
16.00,0.0000,4,0,0.8378,50269,0,0.1145,23934,0,0.1106,23122,0
17.00,0.0000,4,0,0.5214,31283,0,0.0976,20408,0,0.1109,23176,0
18.00,0.0000,4,0,0.6456,38737,0,0.0976,20408,0,0.1109,23176,0
19.00,0.0000,4,0,0.6838,41031,0,0.0681,14241,0,0.1450,30308,0
20.00,0.0000,4,0,0.6822,40934,0,0.0969,20256,0,0.1271,26574,0
21.00,0.0000,4,0,0.4692,28149,0,0.0972,20313,0,0.1271,26574,0
22.00,0.0000,4,0,0.4723,28337,0,0.0246,5138,0,0.1122,23461,0
23.00,0.0000,4,0,0.3100,18599,0,0.0427,8933,0,0.0795,16616,0
24.00,0.0000,4,0,0.0819,4915,0,0.0361,7539,0,0.0797,16667,0
25.00,0.0000,4,0,0.2645,15867,0,0.0788,16476,0,0.0247,5169,0
26.00,0.0000,4,0,0.3221,19329,0,0.0960,20074,0,0.0000,0,0
27.00,0.0000,4,0,0.1494,8965,0,0.0245,5112,0,0.0000,0,0
28.00,0.0000,4,0,0.3381,20288,0,0.0245,5112,0,0.0000,0,0
29.00,0.0000,4,0,0.0965,5791,0,0.0435,9096,0,0.0561,11732,0
30.00,0.0000,4,0,0.0590,3542,0,0.0533,11149,0,0.0275,5748,0
31.00,0.0000,4,0,0.0837,5021,0,0.0249,5204,0,0.0275,5748,0
32.00,0.0000,4,0,0.1643,9856,0,0.0249,5204,0,0.0275,5748,0
33.00,0.0000,4,0,0.1643,9856,0,0.0249,5204,0,0.0480,10041,0
34.00,0.0000,4,0,0.1863,11180,0,0.0249,5204,0,0.0543,11347,0
35.00,0.0000,4,0,0.0866,5195,0,0.0249,5204,0,0.0287,5998,0
36.00,0.0000,4,0,0.0866,5195,0,0.0254,5300,0,0.0287,5998,0
37.00,0.0000,4,0,0.0866,5195,0,0.0254,5300,0,0.0287,5998,0
38.00,0.0000,4,0,0.0895,5367,0,0.0254,5300,0,0.0287,5998,0
39.00,0.0000,4,0,0.0880,5280,0,0.0254,5300,0,0.0556,11619,0
40.00,0.0000,4,0,0.0880,5280,0,0.0258,5396,0,0.0556,11619,0
41.00,0.0000,4,0,0.0880,5280,0,0.0258,5396,0,0.0556,11619,0
42.00,0.0000,4,0,0.0911,5467,0,0.0258,5396,0,0.0556,11619,0
43.00,0.0000,4,0,0.1941,11649,0,0.0258,5396,0,0.0556,11619,0
44.00,0.0000,4,0,0.0894,5365,0,0.0258,5396,0,0.0268,5598,0
45.00,0.0000,4,0,0.0894,5365,0,0.0258,5396,0,0.0262,5486,0
46.00,0.0000,4,0,0.0894,5365,0,0.0258,5396,0,0.0264,5526,0
47.00,0.0000,4,0,0.0894,5365,0,0.0258,5396,0,0.0264,5526,0
48.00,0.0000,4,0,0.0894,5365,0,0.0258,5396,0,0.0264,5526,0
