elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,n_pids
76.7,175686.0,129853.0,118999.4,0.0,42647.2,45323.2,77950.2,44282.8,81930.0,126469.9,45246.5,148
78.3,175686.0,129853.5,118999.9,0.0,42678.8,45323.2,77975.8,44334.4,81970.2,126565.4,45202.6,148
80.0,175686.0,129858.8,119005.0,0.0,42852.0,45323.2,77941.3,44542.1,81746.3,126554.2,45417.5,148
81.7,175686.0,129859.0,119005.1,0.0,42955.5,45323.2,77941.8,44666.1,81749.7,126687.5,45412.2,148
83.3,175686.0,128097.2,119005.4,0.0,42884.1,45323.2,77983.0,44613.0,81819.9,126708.5,45338.1,148
85.0,175686.0,127851.6,119005.4,0.0,42834.5,52820.9,77941.7,44585.8,81810.1,126676.0,45343.4,148
87.8,175686.0,127798.5,119005.5,0.0,42704.5,52820.9,77978.5,44465.1,81834.1,126584.7,45314.0,148
89.4,175686.0,127794.6,119013.0,0.0,42740.0,52820.9,77982.6,44515.4,81789.5,126593.6,45355.4,148
91.0,175686.0,127760.9,119013.0,0.0,42721.1,52820.9,77940.9,44510.5,81749.8,126552.7,45391.4,148
92.7,175686.0,127715.6,119013.5,0.0,42743.9,52820.9,77938.4,44545.6,81759.3,126600.2,45378.9,148
94.4,175686.0,127692.3,119013.5,0.0,42691.9,52820.9,77948.4,44515.5,81763.0,126578.3,45370.8,148
96.1,175686.0,127690.7,119013.5,0.0,42427.4,58855.7,77971.7,44253.3,81912.6,126467.9,45182.3,148
99.0,175686.0,127642.4,119032.1,0.0,42595.8,58855.7,77989.2,44456.2,81803.0,126565.7,45324.1,148
100.7,175686.0,124654.4,119032.1,0.0,42719.5,58855.7,77963.9,44580.8,81769.7,126658.6,45091.8,148
102.3,175686.0,124635.9,119032.1,0.0,42633.1,58855.7,77945.8,44515.4,81793.1,126577.9,45371.2,148
103.9,175686.0,124632.4,119032.1,0.0,42568.3,58855.7,77983.7,44462.8,81845.0,126570.7,45325.7,148
105.4,175686.0,124638.6,119038.5,0.0,42479.0,58855.7,77942.5,44387.9,81806.7,126459.1,45346.4,148
107.0,175686.0,124638.6,119038.5,0.0,42494.0,64627.8,77941.5,44421.4,81801.5,126491.5,45363.6,148
110.6,175686.0,124639.0,119039.1,0.0,41882.2,64627.8,77974.7,43818.3,81817.6,125911.4,44644.6,148
112.2,175686.0,124639.0,119039.1,0.0,41895.5,64627.8,77934.8,43850.0,81989.7,126117.9,44733.7,148
113.7,175686.0,124661.3,119061.4,0.0,41894.9,64627.8,77974.7,43866.4,81832.2,125978.5,44890.9,148
115.4,175686.0,124629.8,119029.9,0.0,41379.8,64627.8,77966.2,43342.2,81877.3,125501.8,45274.0,148
116.9,175686.0,124629.8,119029.9,0.0,41889.4,64627.8,77925.3,43882.3,81809.4,125976.0,45340.0,148
118.5,175686.0,124630.2,119030.3,0.0,42289.7,68841.7,77979.2,44291.6,81866.7,126444.0,45281.2,148
121.9,175686.0,124653.9,119054.5,0.0,41817.1,68841.7,77950.1,43836.2,81812.7,125938.1,45287.7,148
123.5,175686.0,124653.9,119054.5,0.0,42250.8,68841.7,77989.8,44286.8,81799.7,126379.0,45341.4,148
125.1,175686.0,124655.9,119056.6,0.0,41730.4,68841.7,77989.7,43771.3,81791.6,125859.5,45077.4,148
126.7,175686.0,124656.5,119057.1,0.0,42263.3,68841.7,77952.2,44337.8,81799.0,126436.6,45334.8,148
128.3,175686.0,124656.8,119057.5,0.0,42018.2,68841.7,78006.9,44103.0,81823.1,126229.3,45307.3,148
129.9,175686.0,124641.2,119041.9,0.0,42177.8,75830.7,77976.3,44287.4,81788.6,126382.6,45338.5,148
133.5,175688.0,124650.0,119050.7,0.0,42408.0,75830.7,77986.1,44552.9,81808.1,126675.6,45310.9,148
135.1,175688.0,124650.1,119050.7,0.0,42400.1,75830.7,77975.1,44570.0,81795.3,126683.5,45320.1,148
136.7,175688.0,124650.1,119050.7,0.0,42235.0,75830.7,77983.5,44413.2,81810.1,126545.8,45297.0,148
138.3,175688.0,124653.1,119053.8,0.0,42227.2,75830.7,77983.9,44421.5,81826.6,126573.4,45277.6,148
139.9,175688.0,124653.1,119053.8,0.0,42169.4,75830.7,77983.7,44387.3,81823.1,126538.2,45282.7,148
141.5,175688.0,124653.1,119053.8,0.0,42270.8,82840.0,77982.1,44500.2,81765.3,126596.6,45337.2,148
145.2,175688.0,124653.2,119053.9,0.0,42145.8,82840.0,77940.1,44429.1,81726.4,126495.5,45343.2,148
146.9,175688.0,124653.2,119053.9,0.0,42105.4,82840.0,77980.4,44404.4,81781.0,126529.0,45309.0,148
148.5,175688.0,124653.3,119054.0,0.0,41550.6,82840.0,77972.7,43866.1,81870.4,126084.8,44750.9,148
150.1,175688.0,124653.3,119054.0,0.0,40523.8,82840.0,77948.1,42830.9,81716.8,124899.4,45137.1,148
151.6,175688.0,124653.3,119054.0,0.0,41603.8,89128.4,77973.2,43962.1,81769.6,126087.4,45304.2,148
155.4,175688.0,124653.5,119054.1,0.0,41744.6,89128.4,77972.2,44139.1,81728.7,126228.8,45171.9,148
157.0,175688.0,124653.5,119054.1,0.0,42022.9,89128.4,77970.1,44452.1,81747.8,126565.3,45316.4,148
158.6,175688.0,124653.5,119054.1,0.0,41437.2,89128.4,77927.7,43876.1,81717.8,125961.5,44604.2,148
160.2,175688.0,124653.6,119054.2,0.0,40911.5,89128.4,77966.0,43357.9,82013.6,125743.8,44097.2,148
161.8,175688.0,124653.6,119054.2,0.0,40939.9,94753.7,77937.3,43406.5,81714.2,125496.2,45283.9,148
165.7,175688.0,124653.2,119054.3,0.0,41843.1,94753.7,77964.8,44363.2,81706.5,126453.4,45343.3,148
167.4,175688.0,124658.7,119059.8,0.0,41914.2,94753.7,77983.9,44453.0,81761.9,126602.0,45284.5,148
168.9,175688.0,124658.7,119059.8,0.0,40958.8,94753.7,77969.1,43510.9,81745.2,125645.6,45298.9,148
170.5,175688.0,124696.7,119097.8,0.0,37229.0,94753.7,77983.1,39828.2,81754.0,121976.3,45281.5,148
172.2,175688.0,124681.3,119082.4,0.0,30992.4,100103.1,77952.3,33588.6,81792.0,115777.9,45244.3,148
176.1,175688.0,124655.5,119056.6,0.0,32420.6,100103.1,77966.2,35071.4,81745.7,117220.0,45281.0,148
177.8,175688.0,124655.6,119056.7,0.0,33405.8,100103.1,77966.7,36096.7,81759.3,118263.1,45259.2,148
179.4,175688.0,124663.0,119064.1,0.0,34527.0,100103.1,77969.4,37268.9,81712.7,119393.1,45305.3,148
181.1,175688.0,124663.0,119064.1,0.0,35274.0,100103.1,77974.2,38039.6,81753.3,120207.7,45265.4,148
182.7,175688.0,124663.0,119064.1,0.0,36055.2,106157.7,77973.9,38864.2,81765.6,121048.0,45233.9,148
186.8,175688.0,124671.5,119072.6,0.0,36278.8,106157.7,77981.3,39114.0,82173.2,121710.8,44836.8,148
188.5,175688.0,124679.7,119080.8,0.0,36858.3,106157.7,77982.2,39721.2,81745.1,121892.0,45254.8,148
190.0,175688.0,124680.5,119081.6,0.0,36915.3,106157.7,78005.1,39780.0,81772.0,121978.1,45235.4,148
191.6,175688.0,124680.7,119081.8,0.0,37262.7,106157.7,78005.5,40135.6,81782.9,122345.9,45223.3,148
193.1,175688.0,124683.6,119084.8,0.0,37801.8,109076.7,77968.9,40706.2,81705.0,122840.8,45267.0,148
197.3,175688.0,124683.6,119084.8,0.0,39080.9,109076.7,77999.2,42035.8,81765.2,124235.6,45234.3,148
198.9,175688.0,124689.7,119090.8,0.0,39397.5,109076.7,77966.1,42375.4,81892.6,124704.0,45085.0,148
200.5,175688.0,124675.2,119076.3,0.0,39565.3,109076.7,77991.6,42543.1,82141.0,125120.9,44855.8,148
202.1,175688.0,124675.4,119076.5,0.0,39664.6,109076.7,77992.7,42654.3,81787.4,124878.8,45193.0,148
203.7,175688.0,124675.4,119076.5,0.0,39886.6,111155.4,77992.8,42883.2,81783.5,125104.8,45208.0,148
207.8,175688.0,124676.4,119077.6,0.0,40435.9,111155.4,77994.5,43461.4,81805.4,125707.1,45163.8,148
